id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,84170,1690849594280,37664176892,0.36411,9.4598,126080,67.81,2026-09-25T04:36:20.000Z
ethereum,ETH,Ethereum,2,2679.45,327052361333,14671523372,0.14714,8.815,4946.05,0.432979,2026-09-25T04:36:20.000Z
tether,USDT,Tether,3,0.999719,183727366438,68374151225,-0.00513,0.0531,1.32,0.572521,2026-09-25T04:36:20.000Z
binancecoin,BNB,BNB,4,773.11,102939073241,980363310,0.74446,3.3613,1369.99,0.0398177,2026-09-25T04:36:20.000Z
ripple,XRP,XRP,5,1.54,96491487373,4563994358,2.72863,17.2307,3.65,0.00268621,2026-09-25T04:36:20.000Z
usd-coin,USDC,USDC,6,0.999789,75438743608,19430874175,-0.00298,0.0234,1.043,0.877647,2026-09-25T04:36:20.000Z
solana,SOL,Solana,7,116.84,68647535626,4430378053,1.7247,13.7701,293.31,0.500801,2026-09-25T04:36:20.000Z
tron,TRX,TRON,8,0.338449,32139432795,478274544,-1.47124,0.887,0.431288,0.00180434,2026-09-25T04:36:20.000Z
zcash,ZEC,Zcash,9,1552.78,26302377027,1195329884,2.72754,4.8762,3191.93,16.08,2026-09-25T04:36:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,10,1.027,23715223722,587205723,-0.74361,-0.0934,1.061,0.155357,2026-09-25T04:36:20.000Z
hyperliquid,HYPE,Hyperliquid,11,91.74,20402987998,1291563193,-0.1545,6.242,97.96,3.81,2026-09-25T04:36:20.000Z
dogecoin,DOGE,Dogecoin,12,0.095516,14903849496,1147628295,2.19401,14.953,0.731578,8.69e-05,2026-09-25T04:36:20.000Z
monero,XMR,Monero,13,564.41,10612753666,145398097,2.33976,8.2887,797.73,0.216177,2026-09-25T04:36:20.000Z
chainlink,LINK,Chainlink,14,13.39,10011359120,734036590,8.70457,15.737,52.7,0.148183,2026-09-25T04:36:20.000Z
whitebit,WBT,WhiteBIT Coin,15,83.92,9974389553,126750733,-0.4675,5.9074,87.91,3.06,2026-09-25T04:36:20.000Z
usds,USDS,USDS,16,0.999703,9700501341,118349100,-0.01563,0.0024,1.057,0.948265,2026-09-25T04:36:20.000Z
cardano,ADA,Cardano,17,0.248847,9332918413,593687843,3.72299,15.94,3.09,0.01925275,2026-09-25T04:36:20.000Z
rain,RAIN,Rain,18,0.01196796,8485133169,21272220,-1.85546,-5.2987,0.01946402,0.00222126,2026-09-25T04:36:20.000Z
leo-token,LEO,LEO Token,19,8.83,8120977997,504423,-1.45661,-0.3642,10.61,0.799859,2026-09-25T04:36:20.000Z
stellar,XLM,Stellar,20,0.22254,7771109713,472259115,10.44025,18.0377,0.875563,0.00047612,2026-09-25T04:36:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,336.39,6758626614,446241476,-1.94672,41.1287,3785.82,76.93,2026-09-25T04:36:20.000Z
near,NEAR,NEAR Protocol,22,4.5,5875129540,1524375593,1.87097,32.7601,20.44,0.526762,2026-09-25T04:36:20.000Z
uniswap,UNI,Uniswap,23,9.15,5675221068,913282585,-0.99519,15.5884,44.92,1.03,2026-09-25T04:36:20.000Z
litecoin,LTC,Litecoin,24,71.23,5531038582,1551467016,5.06097,29.9728,410.26,1.15,2026-09-25T04:36:20.000Z
ethena-usde,USDE,Ethena USDe,25,0.999725,4898019843,54876650,0.01176,0.0556,1.034,0.929486,2026-09-25T04:36:20.000Z
dai,DAI,Dai,26,0.999834,4591885969,221509796,-0.00243,0.0207,1.22,0.88196,2026-09-25T04:36:20.000Z
canton-network,CC,Canton,27,0.115593,4586423470,21725758,6.51792,8.1499,0.194152,0.059024,2026-09-25T04:36:20.000Z
avalanche-2,AVAX,Avalanche,28,10.25,4541729676,575880771,-0.51076,31.7774,144.96,2.8,2026-09-25T04:36:20.000Z
usd1-wlfi,USD1,USD1,29,0.999205,4405112030,1055858577,-0.02035,0.0096,1.048,0.988762,2026-09-25T04:36:20.000Z
sui,SUI,Sui,30,1.016,4161731978,907548808,5.80588,32.052,5.35,0.364846,2026-09-25T04:36:20.000Z
hedera-hashgraph,HBAR,Hedera,31,0.092658,4058918990,128742307,2.37392,20.7361,0.569229,0.00986111,2026-09-25T04:36:20.000Z
the-open-network,GRAM,Gram (prev. Toncoin),32,1.41,3970714303,63437582,-0.24802,4.913,8.25,0.519364,2026-09-25T04:36:20.000Z
shiba-inu,SHIB,Shiba Inu,33,5.78e-06,3406708022,104359470,1.30006,9.3463,8.616e-05,5.6366e-11,2026-09-25T04:36:20.000Z
bittensor,TAO,Bittensor,34,297.56,3373046759,342778102,3.91768,23.1954,757.6,30.83,2026-09-25T04:36:20.000Z
global-dollar,USDG,Global Dollar,35,0.999967,3258138591,913890176,0.0069,0.0068,1.65,0.907561,2026-09-25T04:36:20.000Z
crypto-com-chain,CRO,Cronos,36,0.065057,3236088372,17932244,5.34342,11.497,0.891544,0.0121196,2026-09-25T04:36:20.000Z
