id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,78095,1567401481871,68266449110,6.5,23.6,126080,67.81,2026-08-22T01:38:20.000Z
ethereum,ETH,Ethereum,2,2518.2,303910423053,30909919402,8.3,34.0,4946.05,0.432979,2026-08-22T01:38:20.000Z
tether,USDT,Tether,3,0.999826,183198973985,114353372209,0.0,0.1,1.32,0.572521,2026-08-22T01:38:20.000Z
ripple,XRP,XRP,4,1.49,93598259902,10001776327,14.9,45.7,3.65,0.00268621,2026-08-22T01:38:20.000Z
binancecoin,BNB,BNB,5,690.81,91994291185,1992598161,5.2,13.3,1369.99,0.0398177,2026-08-22T01:38:20.000Z
usd-coin,USDC,USDC,6,0.999905,73458488977,29347870710,0.0,0.0,1.043,0.877647,2026-08-22T01:38:20.000Z
solana,SOL,Solana,7,94.23,54961729366,6646983640,7.1,24.5,293.31,0.500801,2026-08-22T01:38:20.000Z
tron,TRX,TRON,8,0.34422,32669950959,505000883,2.0,3.5,0.431288,0.00180434,2026-08-22T01:38:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.03,22321330694,29728994,0.9,-0.7,1.061,0.155357,2026-08-22T01:38:20.000Z
hyperliquid,HYPE,Hyperliquid,10,76.36,16986654801,1602978977,3.2,34.5,77.55,3.81,2026-08-22T01:38:20.000Z
dogecoin,DOGE,Dogecoin,11,0.092127,14332583883,1884570397,14.0,31.0,0.731578,8.69e-05,2026-08-22T01:38:20.000Z
zcash,ZEC,Zcash,12,762.6,12889857767,1748993510,29.5,49.2,3191.93,16.08,2026-08-22T01:38:20.000Z
rain,RAIN,Rain,13,0.01501284,10757949540,33737937,8.4,17.8,0.01655801,0.00222126,2026-08-22T01:38:20.000Z
usds,USDS,USDS,14,1.0,9730550165,293104110,0.0,0.0,1.057,0.948265,2026-08-22T01:38:20.000Z
chainlink,LINK,Chainlink,15,12.08,9039245029,1091426597,13.0,34.7,52.7,0.148183,2026-08-22T01:38:20.000Z
cardano,ADA,Cardano,16,0.232012,8695895508,1119119814,15.2,27.4,3.09,0.01925275,2026-08-22T01:38:20.000Z
leo-token,LEO,LEO Token,17,9.33,8578808392,212726,0.5,1.7,10.61,0.799859,2026-08-22T01:38:20.000Z
whitebit,WBT,WhiteBIT Coin,18,72.51,8555310962,381212249,18.6,32.6,73.12,3.06,2026-08-22T01:38:20.000Z
monero,XMR,Monero,19,408.13,7669777864,130056263,-0.5,1.6,797.73,0.216177,2026-08-22T01:38:20.000Z
stellar,XLM,Stellar,20,0.207397,7170658462,474474483,11.0,27.4,0.875563,0.00047612,2026-08-22T01:38:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,293.45,5896496126,838344732,32.2,44.2,3785.82,76.93,2026-08-22T01:38:20.000Z
dai,DAI,Dai,22,0.999957,4574502924,415868701,0.0,0.0,1.22,0.88196,2026-08-22T01:38:20.000Z
canton-network,CC,Canton,23,0.114606,4515452337,25037684,13.3,15.7,0.194152,0.059024,2026-08-22T01:38:20.000Z
litecoin,LTC,Litecoin,24,53.79,4169694153,613736057,12.5,22.7,410.26,1.15,2026-08-22T01:38:20.000Z
the-open-network,GRAM,Gram (prev. Toncoin),25,1.49,4119715666,82091475,6.8,11.6,8.25,0.519364,2026-08-22T01:38:20.000Z
ethena-usde,USDE,Ethena USDe,26,0.999945,4104831919,116659697,0.0,0.0,1.034,0.929486,2026-08-22T01:38:20.000Z
usd1-wlfi,USD1,USD1,27,0.999648,3992158658,3108534194,0.0,0.1,1.048,0.988762,2026-08-22T01:38:20.000Z
shiba-inu,SHIB,Shiba Inu,28,6.09e-06,3586867089,294874516,22.2,30.3,8.616e-05,5.6366e-11,2026-08-22T01:38:20.000Z
sui,SUI,Sui,29,0.869968,3542619858,1061367613,15.5,24.3,5.35,0.364846,2026-08-22T01:38:20.000Z
hedera-hashgraph,HBAR,Hedera,30,0.080643,3532859447,178982344,8.2,20.8,0.569229,0.00986111,2026-08-22T01:38:20.000Z
global-dollar,USDG,Global Dollar,31,1.0,3429558030,541963571,0.0,0.0,1.65,0.907561,2026-08-22T01:38:20.000Z
avalanche-2,AVAX,Avalanche,32,7.88,3403215567,526009164,7.8,21.4,144.96,2.8,2026-08-22T01:38:20.000Z
crypto-com-chain,CRO,Cronos,33,0.060917,2954949023,16311997,11.8,23.2,0.891544,0.0121196,2026-08-22T01:38:20.000Z
hashnote-usyc,USYC,Circle USYC,34,1.14,2924943519,0.0,0.0,0.2,1.14,1.026,2026-08-22T01:38:20.000Z
paypal-usd,PYUSD,PayPal USD,35,0.999937,2860375547,279483393,0.0,0.0,1.021,0.959426,2026-08-22T01:38:20.000Z
tether-gold,XAUT,Tether Gold,36,4581.0,2807363488,301470851,1.7,5.0,5504.62,1447.84,2026-08-22T01:38:20.000Z
uniswap,UNI,Uniswap,37,4.26,2654870220,432283059,13.0,32.6,44.92,1.03,2026-08-22T01:38:20.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,38,1.0,2605208255,0.0,0.0,0.0,1.0,1.0,2026-08-22T01:38:20.000Z
