id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,78715,1580425617115,29636050994,1.5448,-2.5,126080,67.81,2026-09-01T04:46:20.000Z
ethereum,ETH,Ethereum,2,2470.13,298153390165,11434740562,2.36656,-1.4,4946.05,0.432979,2026-09-01T04:46:20.000Z
tether,USDT,Tether,3,0.999734,183326021342,50567086627,-0.00981,0.0,1.32,0.572521,2026-09-01T04:46:20.000Z
binancecoin,BNB,BNB,4,692.37,92205566800,657046051,1.35225,-2.9,1369.99,0.0398177,2026-09-01T04:46:20.000Z
ripple,XRP,XRP,5,1.38,86748645112,1780597490,2.46001,-8.8,3.65,0.00268621,2026-09-01T04:46:20.000Z
usd-coin,USDC,USDC,6,0.999855,73420514697,15724303831,0.00049,0.0,1.043,0.877647,2026-09-01T04:46:20.000Z
solana,SOL,Solana,7,103.73,60719867411,3056502528,2.40955,2.7,293.31,0.500801,2026-09-01T04:46:20.000Z
tron,TRX,TRON,8,0.331649,31487311095,433287906,-1.43859,-3.9,0.431288,0.00180434,2026-09-01T04:46:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.002,21871675301,657233900,,-3.6,1.061,0.155357,2026-09-01T04:46:20.000Z
hyperliquid,HYPE,Hyperliquid,10,83.91,18670601124,1246250366,4.71523,4.6,86.71,3.81,2026-09-01T04:46:20.000Z
zcash,ZEC,Zcash,11,848.26,14343321354,559662203,3.6553,0.2,3191.93,16.08,2026-09-01T04:46:20.000Z
dogecoin,DOGE,Dogecoin,12,0.08321,12963689195,462410970,1.48165,-9.7,0.731578,8.69e-05,2026-09-01T04:46:20.000Z
rain,RAIN,Rain,13,0.01671792,11856823946,41355351,-1.68141,13.5,0.01946402,0.00222126,2026-09-01T04:46:20.000Z
usds,USDS,USDS,14,0.999903,9832427134,166304260,0.00509,0.0,1.057,0.948265,2026-09-01T04:46:20.000Z
monero,XMR,Monero,15,513.09,9626210094,197254194,1.2853,17.8,797.73,0.216177,2026-09-01T04:46:20.000Z
leo-token,LEO,LEO Token,16,9.38,8628873660,352154,-2.22395,-0.2,10.61,0.799859,2026-09-01T04:46:20.000Z
whitebit,WBT,WhiteBIT Coin,17,72.56,8559818157,93772384,1.67774,-2.5,74.97,3.06,2026-09-01T04:46:20.000Z
chainlink,LINK,Chainlink,18,11.42,8549680018,414728524,2.75535,-3.2,52.7,0.148183,2026-09-01T04:46:20.000Z
cardano,ADA,Cardano,19,0.201168,7544808109,314800370,4.18487,-11.3,3.09,0.01925275,2026-09-01T04:46:20.000Z
stellar,XLM,Stellar,20,0.17788,6173694304,125786476,1.87694,-10.3,0.875563,0.00047612,2026-09-01T04:46:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,248.19,4984907969,110779035,1.67116,-10.9,3785.82,76.93,2026-09-01T04:46:20.000Z
canton-network,CC,Canton,22,0.12313,4859483500,14590371,3.75083,-1.2,0.194152,0.059024,2026-09-01T04:46:20.000Z
dai,DAI,Dai,23,0.999999,4590714816,322325462,0.01364,0.0,1.22,0.88196,2026-09-01T04:46:20.000Z
usd1-wlfi,USD1,USD1,24,0.999472,4195430153,1356521932,-0.00712,0.0,1.048,0.988762,2026-09-01T04:46:20.000Z
ethena-usde,USDE,Ethena USDe,25,0.9996,4116055992,84572113,-0.02186,0.0,1.034,0.929486,2026-09-01T04:46:20.000Z
the-open-network,GRAM,Gram (prev. Toncoin),26,1.4,3885276962,79711045,3.69789,-5.6,8.25,0.519364,2026-09-01T04:46:20.000Z
litecoin,LTC,Litecoin,27,48.77,3783778113,205043074,1.16808,-6.8,410.26,1.15,2026-09-01T04:46:20.000Z
uniswap,UNI,Uniswap,28,5.36,3340516459,477281378,6.79697,22.1,44.92,1.03,2026-09-01T04:46:20.000Z
global-dollar,USDG,Global Dollar,29,0.999802,3312252153,1159806035,-0.0227,0.0,1.65,0.907561,2026-09-01T04:46:20.000Z
hedera-hashgraph,HBAR,Hedera,30,0.074467,3265338154,48970369,1.19631,-9.1,0.569229,0.00986111,2026-09-01T04:46:20.000Z
avalanche-2,AVAX,Avalanche,31,7.27,3139243001,142686309,1.90797,-5.3,144.96,2.8,2026-09-01T04:46:20.000Z
shiba-inu,SHIB,Shiba Inu,32,5.13e-06,3026837904,63466417,2.36712,-8.4,8.616e-05,5.6366e-11,2026-09-01T04:46:20.000Z
sui,SUI,Sui,33,0.729744,2974837341,382430560,2.36829,-10.5,5.35,0.364846,2026-09-01T04:46:20.000Z
paypal-usd,PYUSD,PayPal USD,34,0.999847,2905291614,91477311,0.01173,0.0,1.021,0.959426,2026-09-01T04:46:20.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,35,1.0,2818581338,0.0,0.0,0.0,1.0,1.0,2026-09-01T04:46:20.000Z
hashnote-usyc,USYC,Circle USYC,36,1.14,2777985218,0.0,0.00685,0.1,1.14,1.026,2026-09-01T04:46:20.000Z
crypto-com-chain,CRO,Cronos,37,0.056195,2727056184,7231172,0.34483,-9.6,0.891544,0.0121196,2026-09-01T04:46:20.000Z
tether-gold,XAUT,Tether Gold,38,4418.4,2708046496,216922576,0.19171,-3.9,5504.62,1447.84,2026-09-01T04:46:20.000Z
near,NEAR,NEAR Protocol,39,1.97,2567888229,231942122,8.16709,-0.7,20.44,0.526762,2026-09-01T04:46:20.000Z
memecore,M,MemeCore,40,1.088,2467832931,1395324,0.74774,-4.8,5.64,0.04746135,2026-09-01T04:46:20.000Z
okb,OKB,OKB,41,112.03,2352914049,14054152,1.50163,-5.1,228.74,0.580608,2026-09-01T04:46:20.000Z
ripple-usd,RLUSD,Ripple USD,42,1.0,2263435631,163354348,-0.00335,0.0,1.073,0.962292,2026-09-01T04:46:20.000Z
bittensor,TAO,Bittensor,43,229.47,2203030694,98459557,0.82973,-4.3,757.6,30.83,2026-09-01T04:46:20.000Z
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,44,1.14,2187581768,1596519,0.4231,0.4,1.26,0.934184,2026-09-01T04:46:20.000Z
aave,AAVE,Aave,45,126.21,1947611496,220801541,3.49244,-6.2,661.69,26.02,2026-09-01T04:46:20.000Z
pax-gold,PAXG,PAX Gold,46,4427.11,1909725528,120638019,0.18638,-3.9,5619.09,1399.64,2026-09-01T04:46:20.000Z
aster-2,ASTER,Aster,47,0.698735,1886627371,75311211,1.20379,0.7,2.41,0.099713,2026-09-01T04:46:20.000Z
world-liberty-financial,WLFI,World Liberty Financial,48,0.05725,1821408405,29165935,-0.36807,-1.0,0.331336,0.050799,2026-09-01T04:46:20.000Z
mantle,MNT,Mantle,49,0.545653,1801773196,28903669,-4.4215,4.6,2.86,0.307978,2026-09-01T04:46:20.000Z
pump-fun,PUMP,Pump.fun,50,0.00452647,1793602621,185827477,6.42441,-7.3,0.00881908,0.00115473,2026-09-01T04:46:20.000Z
