id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,78817,1582820355473,37178813269,0.00671,1.8,126080,67.81,2026-09-09T04:19:10.000Z
ethereum,ETH,Ethereum,2,2495.47,304551836900,11765343658,0.50717,3.4,4946.05,0.432979,2026-09-09T04:19:10.000Z
tether,USDT,Tether,3,0.999698,183407094259,57114451494,-0.00649,0.0,1.32,0.572521,2026-09-09T04:19:10.000Z
binancecoin,BNB,BNB,4,750.22,99906846955,1250983875,0.95779,9.4,1369.99,0.0398177,2026-09-09T04:19:10.000Z
ripple,XRP,XRP,5,1.43,89404538732,2496899422,2.19418,5.5,3.65,0.00268621,2026-09-09T04:19:10.000Z
usd-coin,USDC,USDC,6,0.999948,74475399084,15098602842,0.00971,0.0,1.043,0.877647,2026-09-09T04:19:10.000Z
solana,SOL,Solana,7,103.66,60773126265,2970470692,0.44306,3.5,293.31,0.500801,2026-09-09T04:19:10.000Z
tron,TRX,TRON,8,0.338515,32135974584,391396277,1.08447,5.4,0.431288,0.00180434,2026-09-09T04:19:10.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.035,23075084512,34096269,,-1.0,1.061,0.155357,2026-09-09T04:19:10.000Z
zcash,ZEC,Zcash,10,1200.89,20342508266,984725654,6.5471,42.6,3191.93,16.08,2026-09-09T04:19:10.000Z
hyperliquid,HYPE,Hyperliquid,11,85.48,19023035645,1031014452,1.69293,2.8,89.6,3.81,2026-09-09T04:19:10.000Z
dogecoin,DOGE,Dogecoin,12,0.090088,14039806396,865226249,0.31945,10.5,0.731578,8.69e-05,2026-09-09T04:19:10.000Z
rain,RAIN,Rain,13,0.01601969,11361395048,36354053,-1.60364,-7.3,0.01946402,0.00222126,2026-09-09T04:19:10.000Z
usds,USDS,USDS,14,1.0,9846001086,221769353,0.01972,0.0,1.057,0.948265,2026-09-09T04:19:10.000Z
whitebit,WBT,WhiteBIT Coin,15,81.58,9620412368,115849269,6.95863,14.5,82.52,3.06,2026-09-09T04:19:10.000Z
monero,XMR,Monero,16,502.15,9438622677,131690576,-1.73785,-2.5,797.73,0.216177,2026-09-09T04:19:10.000Z
chainlink,LINK,Chainlink,17,12.46,9326833051,5104138881,-1.50705,11.0,52.7,0.148183,2026-09-09T04:19:10.000Z
leo-token,LEO,LEO Token,18,9.19,8450653007,142812,-0.63842,-1.6,10.61,0.799859,2026-09-09T04:19:10.000Z
cardano,ADA,Cardano,19,0.218206,8184039668,578406427,0.08747,9.9,3.09,0.01925275,2026-09-09T04:19:10.000Z
stellar,XLM,Stellar,20,0.188025,6543993302,179774251,-1.0317,6.9,0.875563,0.00047612,2026-09-09T04:19:10.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,259.61,5214699369,171469078,0.43926,4.5,3785.82,76.93,2026-09-09T04:19:10.000Z
dai,DAI,Dai,22,0.999802,4578119907,305410778,-0.01044,0.0,1.22,0.88196,2026-09-09T04:19:10.000Z
ethena-usde,USDE,Ethena USDe,23,0.99977,4436445568,77806691,0.01196,0.0,1.034,0.929486,2026-09-09T04:19:10.000Z
canton-network,CC,Canton,24,0.108407,4287663495,10490374,1.53391,-4.5,0.194152,0.059024,2026-09-09T04:19:10.000Z
usd1-wlfi,USD1,USD1,25,0.99954,4278135182,1101032663,-0.00514,0.0,1.048,0.988762,2026-09-09T04:19:10.000Z
uniswap,UNI,Uniswap,26,6.83,4257356818,538438249,-2.20584,13.0,44.92,1.03,2026-09-09T04:19:10.000Z
litecoin,LTC,Litecoin,27,53.88,4180049175,304349334,-2.29709,9.1,410.26,1.15,2026-09-09T04:19:10.000Z
the-open-network,GRAM,Gram (prev. Toncoin),28,1.39,3860213788,30458744,-0.06565,6.1,8.25,0.519364,2026-09-09T04:19:10.000Z
hedera-hashgraph,HBAR,Hedera,29,0.078999,3463266351,64615151,-2.98578,6.8,0.569229,0.00986111,2026-09-09T04:19:10.000Z
avalanche-2,AVAX,Avalanche,30,7.98,3443884028,282075283,-1.0055,10.8,144.96,2.8,2026-09-09T04:19:10.000Z
sui,SUI,Sui,31,0.811371,3323491492,616365140,-1.0156,12.0,5.35,0.364846,2026-09-09T04:19:10.000Z
global-dollar,USDG,Global Dollar,32,0.999954,3320723862,1250559592,-0.00778,0.0,1.65,0.907561,2026-09-09T04:19:10.000Z
shiba-inu,SHIB,Shiba Inu,33,5.4e-06,3183268641,70647902,-0.42457,4.9,8.616e-05,5.6366e-11,2026-09-09T04:19:10.000Z
near,NEAR,NEAR Protocol,34,2.3,3000656478,357785531,1.32191,21.9,20.44,0.526762,2026-09-09T04:19:10.000Z
crypto-com-chain,CRO,Cronos,35,0.060133,2918900360,27234589,3.51412,9.9,0.891544,0.0121196,2026-09-09T04:19:10.000Z
paypal-usd,PYUSD,PayPal USD,36,0.99999,2856806686,53063868,0.02136,0.0,1.021,0.959426,2026-09-09T04:19:10.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,37,1.0,2817664206,0.0,0.0,0.0,1.0,1.0,2026-09-09T04:19:10.000Z
memecore,M,MemeCore,38,1.19,2702845672,2102127,1.8243,13.1,5.64,0.04746135,2026-09-09T04:19:10.000Z
tether-gold,XAUT,Tether Gold,39,4371.46,2678908001,190254738,-1.39544,1.6,5504.62,1447.84,2026-09-09T04:19:10.000Z
hashnote-usyc,USYC,Circle USYC,40,1.14,2624518387,0.0,0.00579,0.1,1.14,1.026,2026-09-09T04:19:10.000Z
bittensor,TAO,Bittensor,41,257.11,2467672949,214090547,0.39322,16.9,757.6,30.83,2026-09-09T04:19:10.000Z
ripple-usd,RLUSD,Ripple USD,42,1.0,2441628467,214179694,0.01803,0.0,1.073,0.962292,2026-09-09T04:19:10.000Z
okb,OKB,OKB,43,114.34,2400952047,23775548,-1.42881,4.0,228.74,0.580608,2026-09-09T04:19:10.000Z
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,44,1.15,2205622233,3043572,0.37722,0.0,1.26,0.934184,2026-09-09T04:19:10.000Z
mantle,MNT,Mantle,45,0.629528,2079152284,31527302,1.14048,16.4,2.86,0.307978,2026-09-09T04:19:10.000Z
