id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,83844,1684327431640,43166552569,-3.78992,9.8869,126080,67.81,2026-09-24T04:24:10.000Z
ethereum,ETH,Ethereum,2,2672.27,326234382493,17095398574,-4.07083,10.1791,4946.05,0.432979,2026-09-24T04:24:10.000Z
tether,USDT,Tether,3,0.99978,183505227345,79290032842,-0.00234,0.0525,1.32,0.572521,2026-09-24T04:24:10.000Z
binancecoin,BNB,BNB,4,765.79,101986351891,1277207487,-3.96338,5.946,1369.99,0.0398177,2026-09-24T04:24:10.000Z
ripple,XRP,XRP,5,1.49,93776878672,5567812323,-9.55758,14.8785,3.65,0.00268621,2026-09-24T04:24:10.000Z
usd-coin,USDC,USDC,6,0.99983,75365382246,21126921345,-0.00215,0.0194,1.043,0.877647,2026-09-24T04:24:10.000Z
solana,SOL,Solana,7,114.64,67362951256,5111406315,-4.16456,15.3971,293.31,0.500801,2026-09-24T04:24:10.000Z
tron,TRX,TRON,8,0.343565,32627833114,509785754,-0.26355,2.4024,0.431288,0.00180434,2026-09-24T04:24:10.000Z
zcash,ZEC,Zcash,9,1504.04,25495935340,1812381733,-6.32951,9.1314,3191.93,16.08,2026-09-24T04:24:10.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,10,1.035,23844091436,29860752,0.37304,0.5107,1.061,0.155357,2026-09-24T04:24:10.000Z
hyperliquid,HYPE,Hyperliquid,11,91.77,20410521181,1115621170,-5.41904,15.7319,97.96,3.81,2026-09-24T04:24:10.000Z
dogecoin,DOGE,Dogecoin,12,0.093255,14549496448,1771614788,-10.35476,15.1262,0.731578,8.69e-05,2026-09-24T04:24:10.000Z
monero,XMR,Monero,13,550.85,10362292104,139409824,-3.77346,10.3147,797.73,0.216177,2026-09-24T04:24:10.000Z
whitebit,WBT,WhiteBIT Coin,14,84.29,10018167331,133320440,-3.79798,7.5149,87.91,3.06,2026-09-24T04:24:10.000Z
usds,USDS,USDS,15,0.999967,9646113865,149717774,0.00981,0.0476,1.057,0.948265,2026-09-24T04:24:10.000Z
chainlink,LINK,Chainlink,16,12.31,9212363175,595418718,-6.6061,10.3976,52.7,0.148183,2026-09-24T04:24:10.000Z
cardano,ADA,Cardano,17,0.239122,8974676594,699404067,-8.33065,22.2098,3.09,0.01925275,2026-09-24T04:24:10.000Z
rain,RAIN,Rain,18,0.01217683,8642384462,19862754,-7.54741,-5.5847,0.01946402,0.00222126,2026-09-24T04:24:10.000Z
leo-token,LEO,LEO Token,19,8.97,8250466162,235734,0.02704,0.4221,10.61,0.799859,2026-09-24T04:24:10.000Z
stellar,XLM,Stellar,20,0.201008,7024394232,372668700,-9.91544,9.6333,0.875563,0.00047612,2026-09-24T04:24:10.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,340.05,6836437419,1155968921,0.09805,54.049,3785.82,76.93,2026-09-24T04:24:10.000Z
uniswap,UNI,Uniswap,22,9.26,5748772334,1449802589,-12.28366,37.8583,44.92,1.03,2026-09-24T04:24:10.000Z
near,NEAR,NEAR Protocol,23,4.37,5718670524,2296289749,-0.4998,65.9805,20.44,0.526762,2026-09-24T04:24:10.000Z
litecoin,LTC,Litecoin,24,67.44,5244621309,867909072,4.97109,28.0111,410.26,1.15,2026-09-24T04:24:10.000Z
ethena-usde,USDE,Ethena USDe,25,0.999665,4889002769,72224437,-0.00887,0.0341,1.034,0.929486,2026-09-24T04:24:10.000Z
dai,DAI,Dai,26,0.99976,4596577085,164958564,-0.01565,-0.029,1.22,0.88196,2026-09-24T04:24:10.000Z
avalanche-2,AVAX,Avalanche,27,10.26,4548811007,631731963,-8.49796,36.0061,144.96,2.8,2026-09-24T04:24:10.000Z
usd1-wlfi,USD1,USD1,28,0.999415,4406021071,1229364389,-0.00029,0.0223,1.048,0.988762,2026-09-24T04:24:10.000Z
canton-network,CC,Canton,29,0.108287,4295834778,19757127,-6.73448,11.8916,0.194152,0.059024,2026-09-24T04:24:10.000Z
the-open-network,GRAM,Gram (prev. Toncoin),30,1.41,3980057385,54164596,-3.38558,7.3659,8.25,0.519364,2026-09-24T04:24:10.000Z
hedera-hashgraph,HBAR,Hedera,31,0.090339,3958821554,167589885,-10.12286,22.5203,0.569229,0.00986111,2026-09-24T04:24:10.000Z
sui,SUI,Sui,32,0.960184,3932832042,999889002,-6.73335,33.7576,5.35,0.364846,2026-09-24T04:24:10.000Z
shiba-inu,SHIB,Shiba Inu,33,5.69e-06,3352243425,150345345,-8.23148,14.1153,8.616e-05,5.6366e-11,2026-09-24T04:24:10.000Z
global-dollar,USDG,Global Dollar,34,0.999856,3254328212,848996407,-0.00237,-0.0075,1.65,0.907561,2026-09-24T04:24:10.000Z
bittensor,TAO,Bittensor,35,285.03,3233301062,348341343,-9.84278,27.8176,757.6,30.83,2026-09-24T04:24:10.000Z
crypto-com-chain,CRO,Cronos,36,0.061558,3061697878,14743643,-10.32604,6.6185,0.891544,0.0121196,2026-09-24T04:24:10.000Z
bitway,BTW,Bitway,37,1.088,2941899863,29636387,16.52156,44.8377,1.09,0.00911805,2026-09-24T04:24:10.000Z
memecore,M,MemeCore,38,1.25,2842332352,1004551,-4.39134,11.4158,5.64,0.04746135,2026-09-24T04:24:10.000Z
paypal-usd,PYUSD,PayPal USD,39,0.999943,2710622029,58615088,-0.00271,0.0377,1.021,0.959426,2026-09-24T04:24:10.000Z
tether-gold,XAUT,Tether Gold,40,4284.1,2668311551,208025506,-1.41658,0.1436,5504.62,1447.84,2026-09-24T04:24:10.000Z
okb,OKB,OKB,41,118.71,2493136574,43175481,-5.17671,7.3021,228.74,0.580608,2026-09-24T04:24:10.000Z
hashnote-usyc,USYC,Circle USYC,42,1.14,2432731226,0.0,0.0096,0.0649,1.14,1.026,2026-09-24T04:24:10.000Z
ripple-usd,RLUSD,Ripple USD,43,0.999962,2366945373,340385415,0.00268,-0.003,1.073,0.962292,2026-09-24T04:24:10.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,44,1.0,2290219820,0.0,0.0,0.0,1.0,1.0,2026-09-24T04:24:10.000Z
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,45,1.14,2266704468,6124727,-0.16699,0.4397,1.26,0.934184,2026-09-24T04:24:10.000Z
mantle,MNT,Mantle,46,0.662755,2188686657,54068362,-4.01644,18.3654,2.86,0.307978,2026-09-24T04:24:10.000Z
aave,AAVE,Aave,47,137.91,2128143753,358225288,-8.87172,14.1745,661.69,26.02,2026-09-24T04:24:10.000Z
ethena,ENA,Ethena,48,0.204591,2065822751,431197734,-6.24135,36.368,1.52,0.070228,2026-09-24T04:24:10.000Z
ondo-finance,ONDO,Ondo,49,0.423581,2063532080,256221319,-4.82957,19.4381,2.14,0.082171,2026-09-24T04:24:10.000Z
polkadot,DOT,Polkadot,50,1.12,1911463887,223816668,-7.0257,9.323,54.98,0.727004,2026-09-24T04:24:10.000Z
