id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,79844,1602378958761,53546980356,3.33694,23.8,126080,67.81,2026-08-25T01:40:20.000Z
ethereum,ETH,Ethereum,2,2499.93,301641414052,20519562392,2.4476,30.5,4946.05,0.432979,2026-08-25T01:40:20.000Z
tether,USDT,Tether,3,0.999883,183209542405,88305758378,0.0039,0.1,1.32,0.572521,2026-08-25T01:40:20.000Z
ripple,XRP,XRP,4,1.51,94708339767,5849327884,2.17896,50.4,3.65,0.00268621,2026-08-25T01:40:20.000Z
binancecoin,BNB,BNB,5,710.53,94594646346,1212022233,1.79837,17.4,1369.99,0.0398177,2026-08-25T01:40:20.000Z
usd-coin,USDC,USDC,6,0.999946,73760215399,23379605192,0.00693,0.0,1.043,0.877647,2026-08-25T01:40:20.000Z
solana,SOL,Solana,7,101.8,59368883368,6766246604,7.88784,34.4,293.31,0.500801,2026-08-25T01:40:20.000Z
tron,TRX,TRON,8,0.345764,32821171575,414595709,0.66868,4.4,0.431288,0.00180434,2026-08-25T01:40:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.039,22555414877,25970577,,3.3,1.061,0.155357,2026-08-25T01:40:20.000Z
hyperliquid,HYPE,Hyperliquid,10,79.44,17668395973,967980831,-1.28139,33.9,83.27,3.81,2026-08-25T01:40:20.000Z
dogecoin,DOGE,Dogecoin,11,0.091393,14219713927,1094339149,-0.13915,30.1,0.731578,8.69e-05,2026-08-25T01:40:20.000Z
zcash,ZEC,Zcash,12,836.97,14134252967,1209484974,0.94121,62.8,3191.93,16.08,2026-08-25T01:40:20.000Z
rain,RAIN,Rain,13,0.01468107,10518999252,34933579,5.29113,12.1,0.01655801,0.00222126,2026-08-25T01:40:20.000Z
usds,USDS,USDS,14,0.99999,9742612606,166712899,0.02125,0.0,1.057,0.948265,2026-08-25T01:40:20.000Z
chainlink,LINK,Chainlink,15,11.76,8795500443,514041396,3.1849,23.1,52.7,0.148183,2026-08-25T01:40:20.000Z
whitebit,WBT,WhiteBIT Coin,16,73.95,8733263414,201568636,2.43805,33.0,74.46,3.06,2026-08-25T01:40:20.000Z
leo-token,LEO,LEO Token,17,9.27,8523557131,419919,-1.5569,-1.5,10.61,0.799859,2026-08-25T01:40:20.000Z
cardano,ADA,Cardano,18,0.224111,8399374693,588163109,1.81896,29.4,3.09,0.01925275,2026-08-25T01:40:20.000Z
monero,XMR,Monero,19,441.46,8298512339,118976642,5.99443,6.2,797.73,0.216177,2026-08-25T01:40:20.000Z
stellar,XLM,Stellar,20,0.196795,6808656915,274424629,1.32369,24.6,0.875563,0.00047612,2026-08-25T01:40:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,276.13,5543596729,287170074,1.54403,34.1,3785.82,76.93,2026-08-25T01:40:20.000Z
canton-network,CC,Canton,22,0.122483,4828107316,24152531,1.32934,37.8,0.194152,0.059024,2026-08-25T01:40:20.000Z
dai,DAI,Dai,23,1.0,4580570211,409716516,0.02166,0.0,1.22,0.88196,2026-08-25T01:40:20.000Z
the-open-network,GRAM,Gram (prev. Toncoin),24,1.48,4077686943,40031905,0.51634,10.7,8.25,0.519364,2026-08-25T01:40:20.000Z
ethena-usde,USDE,Ethena USDe,25,0.999728,4070482948,38130072,-0.00191,0.0,1.034,0.929486,2026-08-25T01:40:20.000Z
litecoin,LTC,Litecoin,26,52.28,4052854528,455505101,1.1527,17.1,410.26,1.15,2026-08-25T01:40:20.000Z
usd1-wlfi,USD1,USD1,27,0.999789,4030974965,1449963789,-0.00849,0.1,1.048,0.988762,2026-08-25T01:40:20.000Z
hedera-hashgraph,HBAR,Hedera,28,0.080829,3542431857,126721939,3.36102,22.0,0.569229,0.00986111,2026-08-25T01:40:20.000Z
global-dollar,USDG,Global Dollar,29,1.0,3396868915,422922384,0.02258,0.0,1.65,0.907561,2026-08-25T01:40:20.000Z
sui,SUI,Sui,30,0.815646,3322171231,732011772,-1.61915,20.6,5.35,0.364846,2026-08-25T01:40:20.000Z
avalanche-2,AVAX,Avalanche,31,7.62,3291141019,287333378,1.79788,20.1,144.96,2.8,2026-08-25T01:40:20.000Z
shiba-inu,SHIB,Shiba Inu,32,5.54e-06,3265582132,126096409,1.83476,23.6,8.616e-05,5.6366e-11,2026-08-25T01:40:20.000Z
crypto-com-chain,CRO,Cronos,33,0.061342,2975703004,14614458,4.78345,29.1,0.891544,0.0121196,2026-08-25T01:40:20.000Z
hashnote-usyc,USYC,Circle USYC,34,1.14,2925176429,0.0,0.007,0.2,1.14,1.026,2026-08-25T01:40:20.000Z
tether-gold,XAUT,Tether Gold,35,4652.66,2851293907,278520241,1.37916,6.2,5504.62,1447.84,2026-08-25T01:40:20.000Z
paypal-usd,PYUSD,PayPal USD,36,0.999843,2798243263,140983465,0.00803,0.0,1.021,0.959426,2026-08-25T01:40:20.000Z
uniswap,UNI,Uniswap,37,4.38,2727147411,432396198,-0.7856,32.4,44.92,1.03,2026-08-25T01:40:20.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,38,1.0,2657343400,0.0,0.0,0.0,1.0,1.0,2026-08-25T01:40:20.000Z
memecore,M,MemeCore,39,1.15,2597667626,5247404,2.83679,-0.6,5.64,0.04746135,2026-08-25T01:40:20.000Z
near,NEAR,NEAR Protocol,40,1.96,2551441920,381709630,-4.70346,20.3,20.44,0.526762,2026-08-25T01:40:20.000Z
okb,OKB,OKB,41,117.38,2464879377,51498250,6.26077,18.7,228.74,0.580608,2026-08-25T01:40:20.000Z
bittensor,TAO,Bittensor,42,239.18,2294833014,217322836,1.33064,23.2,757.6,30.83,2026-08-25T01:40:20.000Z
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,43,1.14,2160874429,763296,0.57495,0.2,1.26,0.934184,2026-08-25T01:40:20.000Z
ripple-usd,RLUSD,Ripple USD,44,1.0,2072477870,518567370,0.00744,0.0,1.073,0.962292,2026-08-25T01:40:20.000Z
aave,AAVE,Aave,45,134.15,2068888092,549984964,-3.20087,49.3,661.69,26.02,2026-08-25T01:40:20.000Z
pax-gold,PAXG,PAX Gold,46,4663.09,2014902810,186893259,1.30524,6.1,5619.09,1399.64,2026-08-25T01:40:20.000Z
ondo-finance,ONDO,Ondo,47,0.390671,1901999504,200641657,5.45569,15.2,2.14,0.082171,2026-08-25T01:40:20.000Z
aster-2,ASTER,Aster,48,0.704165,1901481206,161771670,4.53221,17.3,2.41,0.099713,2026-08-25T01:40:20.000Z
pump-fun,PUMP,Pump.fun,49,0.00479332,1868100295,274401912,-4.11861,74.9,0.00881908,0.00115473,2026-08-25T01:40:20.000Z
world-liberty-financial,WLFI,World Liberty Financial,50,0.05792,1840188319,62390501,0.50467,-4.1,0.331336,0.050799,2026-08-25T01:40:20.000Z
