id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,81282,1632742025589,24831138348,1.10062,4.9,126080,67.81,2026-09-21T04:34:20.000Z
ethereum,ETH,Ethereum,2,2656.05,324219302734,13799328846,2.82941,6.1,4946.05,0.432979,2026-09-21T04:34:20.000Z
tether,USDT,Tether,3,0.999683,183327155679,51834669207,0.01272,0.0,1.32,0.572521,2026-09-21T04:34:20.000Z
binancecoin,BNB,BNB,4,772.99,102933885967,1114363296,3.30416,7.4,1369.99,0.0398177,2026-09-21T04:34:20.000Z
ripple,XRP,XRP,5,1.42,89080828075,2346651817,2.52062,3.8,3.65,0.00268621,2026-09-21T04:34:20.000Z
usd-coin,USDC,USDC,6,0.999721,74223254593,13557079418,0.00644,0.0,1.043,0.877647,2026-09-21T04:34:20.000Z
solana,SOL,Solana,7,111.21,65337017649,3347141719,2.1693,10.5,293.31,0.500801,2026-09-21T04:34:20.000Z
tron,TRX,TRON,8,0.342914,32560900696,432506523,0.86173,1.3,0.431288,0.00180434,2026-09-21T04:34:20.000Z
zcash,ZEC,Zcash,9,1523.17,25800374418,1198023143,5.39581,36.9,3191.93,16.08,2026-09-21T04:34:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,10,1.0,22770677934,3736610,,0.0,1.061,0.155357,2026-09-21T04:34:20.000Z
hyperliquid,HYPE,Hyperliquid,11,93.52,20802824737,849942439,3.07766,17.6,94.48,3.81,2026-09-21T04:34:20.000Z
dogecoin,DOGE,Dogecoin,12,0.087983,13728359527,825949393,3.00476,5.2,0.731578,8.69e-05,2026-09-21T04:34:20.000Z
monero,XMR,Monero,13,572.86,10775292377,128282133,8.96963,10.9,797.73,0.216177,2026-09-21T04:34:20.000Z
rain,RAIN,Rain,14,0.01415265,10033793885,27877956,3.83134,-7.3,0.01946402,0.00222126,2026-09-21T04:34:20.000Z
whitebit,WBT,WhiteBIT Coin,15,83.07,9876424609,114698516,1.50066,3.4,83.88,3.06,2026-09-21T04:34:20.000Z
usds,USDS,USDS,16,0.999925,9617539614,111249396,0.00703,0.0,1.057,0.948265,2026-09-21T04:34:20.000Z
chainlink,LINK,Chainlink,17,12.62,9440417569,487927332,4.77902,11.5,52.7,0.148183,2026-09-21T04:34:20.000Z
cardano,ADA,Cardano,18,0.230879,8662511808,476145851,4.29742,11.6,3.09,0.01925275,2026-09-21T04:34:20.000Z
leo-token,LEO,LEO Token,19,8.92,8203780796,136014,0.19281,-1.0,10.61,0.799859,2026-09-21T04:34:20.000Z
stellar,XLM,Stellar,20,0.197478,6889583205,194019000,3.60571,9.6,0.875563,0.00047612,2026-09-21T04:34:20.000Z
near,NEAR,NEAR Protocol,21,4.41,5765418689,2179781136,27.11861,85.7,20.44,0.526762,2026-09-21T04:34:20.000Z
uniswap,UNI,Uniswap,22,8.74,5430655242,784127528,-0.13743,38.1,44.92,1.03,2026-09-21T04:34:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,23,253.82,5100325309,170156071,2.68985,13.8,3785.82,76.93,2026-09-21T04:34:20.000Z
avalanche-2,AVAX,Avalanche,24,11.33,5014287466,1418842204,18.10451,51.4,144.96,2.8,2026-09-21T04:34:20.000Z
ethena-usde,USDE,Ethena USDe,25,0.999813,4866561498,20581223,0.01541,0.0,1.034,0.929486,2026-09-21T04:34:20.000Z
dai,DAI,Dai,26,1.0,4602975297,182026535,0.01203,0.0,1.22,0.88196,2026-09-21T04:34:20.000Z
litecoin,LTC,Litecoin,27,58.57,4546637932,303020899,2.56329,8.5,410.26,1.15,2026-09-21T04:34:20.000Z
canton-network,CC,Canton,28,0.112054,4441093456,8924421,6.32631,16.1,0.194152,0.059024,2026-09-21T04:34:20.000Z
usd1-wlfi,USD1,USD1,29,0.999683,4355408143,814175302,0.00833,0.0,1.048,0.988762,2026-09-21T04:34:20.000Z
the-open-network,GRAM,Gram (prev. Toncoin),30,1.41,3941072033,37397868,2.59254,2.7,8.25,0.519364,2026-09-21T04:34:20.000Z
sui,SUI,Sui,31,0.945003,3869707308,1270087153,14.46593,32.8,5.35,0.364846,2026-09-21T04:34:20.000Z
hedera-hashgraph,HBAR,Hedera,32,0.087001,3813575879,234178497,8.38035,14.4,0.569229,0.00986111,2026-09-21T04:34:20.000Z
memecore,M,MemeCore,33,1.52,3451884351,3413421,-9.93581,32.6,5.64,0.04746135,2026-09-21T04:34:20.000Z
