id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,85524,1718254211273,61710309563,5.2825,9.9154,126080,67.81,2026-09-22T04:31:10.000Z
ethereum,ETH,Ethereum,2,2733.76,333834375958,25559966365,2.99597,9.0154,4946.05,0.432979,2026-09-22T04:31:10.000Z
tether,USDT,Tether,3,0.999722,183337240534,104992395176,0.0051,-0.0036,1.32,0.572521,2026-09-22T04:31:10.000Z
binancecoin,BNB,BNB,4,787.78,104921037928,1852642560,2.0064,9.3803,1369.99,0.0398177,2026-09-22T04:31:10.000Z
ripple,XRP,XRP,5,1.52,95696669856,6877382193,7.29124,6.4496,3.65,0.00268621,2026-09-22T04:31:10.000Z
usd-coin,USDC,USDC,6,0.999809,74739868680,27418456358,0.01078,-0.0003,1.043,0.877647,2026-09-22T04:31:10.000Z
solana,SOL,Solana,7,116.69,68560418869,6703854026,5.00596,14.6658,293.31,0.500801,2026-09-22T04:31:10.000Z
tron,TRX,TRON,8,0.34854,33076695471,547750594,1.63878,2.9701,0.431288,0.00180434,2026-09-22T04:31:10.000Z
zcash,ZEC,Zcash,9,1456.23,24673935242,1100481566,-4.13443,26.0612,3191.93,16.08,2026-09-22T04:31:10.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,10,1.013,23061727339,54966583,1.27968,-1.463,1.061,0.155357,2026-09-22T04:31:10.000Z
hyperliquid,HYPE,Hyperliquid,11,92.88,20659971482,1322731201,-0.58538,16.1473,95.99,3.81,2026-09-22T04:31:10.000Z
dogecoin,DOGE,Dogecoin,12,0.103124,16136747381,3391082058,17.33268,21.5189,0.731578,8.69e-05,2026-09-22T04:31:10.000Z
monero,XMR,Monero,13,571.72,10758758307,259566419,-0.03566,11.5647,797.73,0.216177,2026-09-22T04:31:10.000Z
whitebit,WBT,WhiteBIT Coin,14,86.05,10230562833,224737522,3.64461,6.7411,87.91,3.06,2026-09-22T04:31:10.000Z
rain,RAIN,Rain,15,0.01378973,9786960934,12815384,-2.50367,-2.8892,0.01946402,0.00222126,2026-09-22T04:31:10.000Z
chainlink,LINK,Chainlink,16,12.96,9706683331,739774242,3.02572,12.3219,52.7,0.148183,2026-09-22T04:31:10.000Z
usds,USDS,USDS,17,0.999887,9570192565,237459666,-0.00269,0.0307,1.057,0.948265,2026-09-22T04:31:10.000Z
cardano,ADA,Cardano,18,0.249249,9376217842,922663787,8.17739,19.3455,3.09,0.01925275,2026-09-22T04:31:10.000Z
leo-token,LEO,LEO Token,19,8.96,8244791824,160860,0.4998,0.062,10.61,0.799859,2026-09-22T04:31:10.000Z
stellar,XLM,Stellar,20,0.213893,7485840475,535967998,8.4619,8.9377,0.875563,0.00047612,2026-09-22T04:31:10.000Z
near,NEAR,NEAR Protocol,21,4.35,5694032887,1657252502,-0.82593,79.6235,20.44,0.526762,2026-09-22T04:31:10.000Z
uniswap,UNI,Uniswap,22,8.95,5570204538,1252602339,2.73735,37.3232,44.92,1.03,2026-09-22T04:31:10.000Z
bitcoin-cash,BCH,Bitcoin Cash,23,265.17,5331329094,322646708,4.59235,18.9514,3785.82,76.93,2026-09-22T04:31:10.000Z
ethena-usde,USDE,Ethena USDe,24,0.999798,4918197567,63398390,0.0018,0.0121,1.034,0.929486,2026-09-22T04:31:10.000Z
avalanche-2,AVAX,Avalanche,25,10.94,4847448635,890363651,-3.48276,45.2862,144.96,2.8,2026-09-22T04:31:10.000Z
litecoin,LTC,Litecoin,26,60.94,4733571769,590049478,4.17834,15.073,410.26,1.15,2026-09-22T04:31:10.000Z
canton-network,CC,Canton,27,0.117814,4674729426,24362932,5.15169,21.9244,0.194152,0.059024,2026-09-22T04:31:10.000Z
dai,DAI,Dai,28,1.0,4580173209,256942398,0.01937,-0.0072,1.22,0.88196,2026-09-22T04:31:10.000Z
usd1-wlfi,USD1,USD1,29,0.999345,4374128945,1579972120,-0.03314,-0.0123,1.048,0.988762,2026-09-22T04:31:10.000Z
sui,SUI,Sui,30,1.026,4215971792,2017173504,8.91091,43.9485,5.35,0.364846,2026-09-22T04:31:10.000Z
hedera-hashgraph,HBAR,Hedera,31,0.094518,4146934398,206771089,8.73153,19.7945,0.569229,0.00986111,2026-09-22T04:31:10.000Z
the-open-network,GRAM,Gram (prev. Toncoin),32,1.44,4037284498,75338307,1.92465,6.9622,8.25,0.519364,2026-09-22T04:31:10.000Z
shiba-inu,SHIB,Shiba Inu,33,6.16e-06,3639912422,242927891,11.74893,16.3857,8.616e-05,5.6366e-11,2026-09-22T04:31:10.000Z
bittensor,TAO,Bittensor,34,311.35,3535257692,704738352,18.08696,35.293,757.6,30.83,2026-09-22T04:31:10.000Z
crypto-com-chain,CRO,Cronos,35,0.06828,3403451615,22312548,10.3908,14.412,0.891544,0.0121196,2026-09-22T04:31:10.000Z
global-dollar,USDG,Global Dollar,36,0.99986,3267771106,1054907171,-0.00462,-0.0055,1.65,0.907561,2026-09-22T04:31:10.000Z
memecore,M,MemeCore,37,1.41,3212434173,2350915,-6.30538,29.5597,5.64,0.04746135,2026-09-22T04:31:10.000Z
paypal-usd,PYUSD,PayPal USD,38,0.99991,2840315706,119651764,0.00414,0.0107,1.021,0.959426,2026-09-22T04:31:10.000Z
tether-gold,XAUT,Tether Gold,39,4339.05,2702524883,201109668,-0.47712,0.7277,5504.62,1447.84,2026-09-22T04:31:10.000Z
okb,OKB,OKB,40,121.94,2560462517,57925747,2.0781,7.6522,228.74,0.580608,2026-09-22T04:31:10.000Z
hashnote-usyc,USYC,Circle USYC,41,1.14,2508517113,0.0,0.00714,0.0637,1.14,1.026,2026-09-22T04:31:10.000Z
ripple-usd,RLUSD,Ripple USD,42,0.999906,2444719203,436794568,-0.01167,-0.0027,1.073,0.962292,2026-09-22T04:31:10.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,43,1.0,2311661429,0.0,0.0,0.0,1.0,1.0,2026-09-22T04:31:10.000Z
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,44,1.15,2246460448,2202214,0.41272,0.0892,1.26,0.934184,2026-09-22T04:31:10.000Z
pepe,PEPE,Pepe,45,5.26e-06,2215249407,1462890383,31.72444,50.9221,2.803e-05,5.5142e-08,2026-09-22T04:31:10.000Z
bitway,BTW,Bitway,46,0.817091,2213221856,35178168,8.92551,16.7225,0.972034,0.00911805,2026-09-22T04:31:10.000Z
aave,AAVE,Aave,47,143.09,2210620401,386201585,3.53038,11.964,661.69,26.02,2026-09-22T04:31:10.000Z
mantle,MNT,Mantle,48,0.652287,2151613575,57648156,6.6109,12.4582,2.86,0.307978,2026-09-22T04:31:10.000Z
ondo-finance,ONDO,Ondo,49,0.437101,2130568332,304851398,2.63802,24.2494,2.14,0.082171,2026-09-22T04:31:10.000Z
ethena,ENA,Ethena,50,0.210379,2126992247,626841398,-1.47866,47.31,1.52,0.070228,2026-09-22T04:31:10.000Z
