id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,76176,1529867538952,30877791058,0.39314,-2.5,126080,67.81,2026-09-17T04:35:20.000Z
ethereum,ETH,Ethereum,2,2427.38,296229029380,16201040449,0.97436,-1.6,4946.05,0.432979,2026-09-17T04:35:20.000Z
tether,USDT,Tether,3,0.999216,183294901977,60309305797,-0.01877,0.0,1.32,0.572521,2026-09-17T04:35:20.000Z
binancecoin,BNB,BNB,4,722.74,96225710034,984691244,1.16879,0.0,1369.99,0.0398177,2026-09-17T04:35:20.000Z
ripple,XRP,XRP,5,1.29,81385237037,3677985610,-1.05029,-6.5,3.65,0.00268621,2026-09-17T04:35:20.000Z
usd-coin,USDC,USDC,6,0.999618,73688315811,18305846987,-0.01197,0.0,1.043,0.877647,2026-09-17T04:35:20.000Z
solana,SOL,Solana,7,99.23,58259273618,3396522626,1.9117,-1.9,293.31,0.500801,2026-09-17T04:35:20.000Z
tron,TRX,TRON,8,0.335555,31861256098,391915828,0.4382,-1.1,0.431288,0.00180434,2026-09-17T04:35:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.03,23267670988,99156764,2.6437,0.4,1.061,0.155357,2026-09-17T04:35:20.000Z
zcash,ZEC,Zcash,10,1354.87,22938104102,2656515700,18.15245,10.7,3191.93,16.08,2026-09-17T04:35:20.000Z
hyperliquid,HYPE,Hyperliquid,11,78.92,17553145321,933948016,2.04817,-5.6,89.6,3.81,2026-09-17T04:35:20.000Z
dogecoin,DOGE,Dogecoin,12,0.080731,12588940739,726623676,0.43375,-5.7,0.731578,8.69e-05,2026-09-17T04:35:20.000Z
usds,USDS,USDS,13,0.999501,9564644338,222844221,0.00604,0.0,1.057,0.948265,2026-09-17T04:35:20.000Z
monero,XMR,Monero,14,500.41,9410245821,106716765,-1.40555,-2.7,797.73,0.216177,2026-09-17T04:35:20.000Z
whitebit,WBT,WhiteBIT Coin,15,78.3,9229826599,151292180,0.36619,-2.8,83.22,3.06,2026-09-17T04:35:20.000Z
rain,RAIN,Rain,16,0.01286735,9128301506,22635871,-8.32076,-20.8,0.01946402,0.00222126,2026-09-17T04:35:20.000Z
chainlink,LINK,Chainlink,17,11.06,8275440878,446746683,2.13698,-6.0,52.7,0.148183,2026-09-17T04:35:20.000Z
leo-token,LEO,LEO Token,18,8.94,8222294105,108152,0.85892,-2.8,10.61,0.799859,2026-09-17T04:35:20.000Z
cardano,ADA,Cardano,19,0.195419,7330777055,412431495,-0.30159,-8.0,3.09,0.01925275,2026-09-17T04:35:20.000Z
stellar,XLM,Stellar,20,0.18168,6328988155,268042396,2.31727,1.5,0.875563,0.00047612,2026-09-17T04:35:20.000Z
ethena-usde,USDE,Ethena USDe,21,0.999346,4726281317,77772037,0.02696,0.0,1.034,0.929486,2026-09-17T04:35:20.000Z
dai,DAI,Dai,22,0.999901,4592684959,316913190,-0.00589,0.0,1.22,0.88196,2026-09-17T04:35:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,23,220.13,4421987202,127134157,-0.03611,-12.4,3785.82,76.93,2026-09-17T04:35:20.000Z
usd1-wlfi,USD1,USD1,24,0.999088,4342690003,1040273676,-0.01072,0.0,1.048,0.988762,2026-09-17T04:35:20.000Z
uniswap,UNI,Uniswap,25,6.86,4278923047,793599686,6.58994,12.5,44.92,1.03,2026-09-17T04:35:20.000Z
litecoin,LTC,Litecoin,26,51.95,4031368339,254661279,1.46453,-1.5,410.26,1.15,2026-09-17T04:35:20.000Z
