id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,77213,1549408884778,30249076051,0.6,23.4,126080,67.81,2026-08-24T01:45:20.000Z
ethereum,ETH,Ethereum,2,2438.19,294180373611,16577081074,1.5,31.3,4946.05,0.432979,2026-08-24T01:45:20.000Z
tether,USDT,Tether,3,0.999849,183202105379,57537765384,0.0,0.1,1.32,0.572521,2026-08-24T01:45:20.000Z
binancecoin,BNB,BNB,4,696.2,92719927970,1071890104,1.2,16.9,1369.99,0.0398177,2026-08-24T01:45:20.000Z
ripple,XRP,XRP,5,1.47,92406879329,5057318590,2.4,51.1,3.65,0.00268621,2026-08-24T01:45:20.000Z
usd-coin,USDC,USDC,6,0.999876,73561084920,13866690480,0.0,0.0,1.043,0.877647,2026-08-24T01:45:20.000Z
solana,SOL,Solana,7,94.19,54929657028,4132156391,1.6,28.0,293.31,0.500801,2026-08-24T01:45:20.000Z
tron,TRX,TRON,8,0.343373,32585428152,384774369,-0.2,3.7,0.431288,0.00180434,2026-08-24T01:45:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.0,21693263485,2421096,-2.4,-0.1,1.061,0.155357,2026-08-22T22:34:30.000Z
hyperliquid,HYPE,Hyperliquid,9,80.43,17890931023,877653289,2.7,42.6,83.27,3.81,2026-08-24T01:45:20.000Z
dogecoin,DOGE,Dogecoin,10,0.091349,14213132105,1039316349,0.5,33.0,0.731578,8.69e-05,2026-08-24T01:45:20.000Z
zcash,ZEC,Zcash,11,831.27,14023687151,1359867024,4.2,72.6,3191.93,16.08,2026-08-24T01:45:20.000Z
rain,RAIN,Rain,12,0.01393988,9990125828,35236148,-0.3,7.9,0.01655801,0.00222126,2026-08-24T01:45:20.000Z
usds,USDS,USDS,13,0.999881,9761407504,64121642,0.0,0.0,1.057,0.948265,2026-08-24T01:45:20.000Z
leo-token,LEO,LEO Token,14,9.28,8541821619,286585,1.0,1.6,10.61,0.799859,2026-08-24T01:45:20.000Z
whitebit,WBT,WhiteBIT Coin,15,72.14,8512216861,147274566,0.9,33.2,73.12,3.06,2026-08-24T01:45:20.000Z
chainlink,LINK,Chainlink,16,11.36,8501179215,630030432,-1.3,22.8,52.7,0.148183,2026-08-24T01:45:20.000Z
cardano,ADA,Cardano,17,0.219578,8231050225,577430900,-0.9,27.9,3.09,0.01925275,2026-08-24T01:45:20.000Z
monero,XMR,Monero,18,416.03,7823073340,95943149,-3.4,2.2,797.73,0.216177,2026-08-24T01:45:20.000Z
stellar,XLM,Stellar,19,0.194016,6702267025,275137128,0.8,26.1,0.875563,0.00047612,2026-08-24T01:45:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,20,271.37,5448782881,211575776,0.4,36.1,3785.82,76.93,2026-08-24T01:45:20.000Z
canton-network,CC,Canton,21,0.120877,4763931530,13848513,1.6,25.3,0.194152,0.059024,2026-08-24T01:45:20.000Z
dai,DAI,Dai,22,0.999867,4583841492,178443470,0.0,0.0,1.22,0.88196,2026-08-24T01:45:20.000Z
ethena-usde,USDE,Ethena USDe,23,0.999761,4078312548,61941332,0.0,0.0,1.034,0.929486,2026-08-24T01:45:20.000Z
the-open-network,GRAM,Gram (prev. Toncoin),24,1.47,4050745795,55831914,3.2,11.8,8.25,0.519364,2026-08-24T01:45:20.000Z
litecoin,LTC,Litecoin,25,51.62,4001223992,321048440,-0.8,17.9,410.26,1.15,2026-08-24T01:45:20.000Z
usd1-wlfi,USD1,USD1,26,0.999867,3998206894,853856857,0.0,0.1,1.048,0.988762,2026-08-24T01:45:20.000Z
hedera-hashgraph,HBAR,Hedera,27,0.078058,3420097767,105462292,2.2,22.4,0.569229,0.00986111,2026-08-24T01:45:20.000Z
global-dollar,USDG,Global Dollar,28,0.99992,3386838532,290573090,0.0,0.0,1.65,0.907561,2026-08-24T01:45:20.000Z
sui,SUI,Sui,29,0.827517,3370980102,764347301,3.5,25.6,5.35,0.364846,2026-08-24T01:45:20.000Z
avalanche-2,AVAX,Avalanche,30,7.46,3221465112,272056423,0.8,19.2,144.96,2.8,2026-08-24T01:45:20.000Z
shiba-inu,SHIB,Shiba Inu,31,5.41e-06,3186787085,113871801,1.5,24.8,8.616e-05,5.6366e-11,2026-08-24T01:45:20.000Z
hashnote-usyc,USYC,Circle USYC,32,1.14,2924943519,0.0,0.0,0.2,1.14,1.026,2026-08-24T01:45:20.000Z
paypal-usd,PYUSD,PayPal USD,33,0.999922,2895165476,49887079,0.0,0.0,1.021,0.959426,2026-08-24T01:45:20.000Z
crypto-com-chain,CRO,Cronos,34,0.058194,2829774294,8807210,4.1,26.5,0.891544,0.0121196,2026-08-24T01:45:20.000Z
tether-gold,XAUT,Tether Gold,35,4595.38,2816751389,156784242,0.4,5.7,5504.62,1447.84,2026-08-24T01:45:20.000Z
uniswap,UNI,Uniswap,36,4.39,2738272190,577743739,4.2,37.2,44.92,1.03,2026-08-24T01:45:20.000Z
near,NEAR,NEAR Protocol,37,2.05,2671526384,415967112,8.7,27.6,20.44,0.526762,2026-08-24T01:45:20.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,38,1.0,2605208255,0.0,0.0,0.0,1.0,1.0,2026-08-24T01:45:20.000Z
memecore,M,MemeCore,39,1.11,2524417485,3754002,2.2,-0.3,5.64,0.04746135,2026-08-24T01:45:20.000Z
