id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,69528,1395433403498,46212957502,7.4,9.5,126080,67.81,2026-08-20T01:39:20.000Z
ethereum,ETH,Ethereum,2,2261.59,272905701857,29157001512,18.2,20.5,4946.05,0.432979,2026-08-20T01:39:20.000Z
tether,USDT,Tether,3,0.999496,183003224799,77990791718,0.0,0.0,1.32,0.572521,2026-08-20T01:39:20.000Z
binancecoin,BNB,BNB,4,625.31,83267594344,1248788357,4.3,3.1,1369.99,0.0398177,2026-08-20T01:39:20.000Z
usd-coin,USDC,USDC,5,0.99968,72312531872,21872279115,0.0,0.0,1.043,0.877647,2026-08-20T01:39:20.000Z
ripple,XRP,XRP,6,1.11,69602409973,2969182238,10.7,10.2,3.65,0.00268621,2026-08-20T01:39:20.000Z
solana,SOL,Solana,7,84.95,49523146227,4564165231,10.4,12.5,293.31,0.500801,2026-08-20T01:39:20.000Z
tron,TRX,TRON,8,0.333899,31683201886,386613195,0.4,-0.5,0.431288,0.00180434,2026-08-20T01:39:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.043,22490148599,96724464,3.8,0.3,1.061,0.155357,2026-08-20T01:39:20.000Z
hyperliquid,HYPE,Hyperliquid,10,69.19,15390322036,1296173243,19.3,24.5,76.87,3.81,2026-08-20T01:39:20.000Z
dogecoin,DOGE,Dogecoin,11,0.075211,11698845609,807464871,7.1,8.0,0.731578,8.69e-05,2026-08-20T01:39:20.000Z
rain,RAIN,Rain,12,0.01396518,10003546203,33191032,6.7,9.2,0.01655801,0.00222126,2026-08-20T01:39:20.000Z
usds,USDS,USDS,13,1.0,9731113740,148601965,0.0,0.0,1.057,0.948265,2026-08-20T01:39:20.000Z
zcash,ZEC,Zcash,14,561.89,9484970326,522959261,10.5,14.6,3191.93,16.08,2026-08-20T01:39:20.000Z
leo-token,LEO,LEO Token,15,9.29,8547324050,487890,-1.5,2.5,10.61,0.799859,2026-08-20T01:39:20.000Z
monero,XMR,Monero,16,426.07,8007274632,100437190,2.5,7.6,797.73,0.216177,2026-08-20T01:39:20.000Z
