id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,78821,1582074902030,23040654424,-1.06887,0.6,126080,67.81,2026-09-08T04:13:20.000Z
ethereum,ETH,Ethereum,2,2483.07,302814282984,10690484317,-0.5882,0.8,4946.05,0.432979,2026-09-08T04:13:20.000Z
tether,USDT,Tether,3,0.99976,183392571642,46674610514,-0.00965,0.0,1.32,0.572521,2026-09-08T04:13:20.000Z
binancecoin,BNB,BNB,4,742.4,98824363364,811686409,-0.60207,7.4,1369.99,0.0398177,2026-09-08T04:13:20.000Z
ripple,XRP,XRP,5,1.39,87427865130,1941501907,-0.94417,1.4,3.65,0.00268621,2026-09-08T04:13:20.000Z
usd-coin,USDC,USDC,6,0.999845,74340847422,11544502254,0.00233,0.0,1.043,0.877647,2026-09-08T04:13:20.000Z
solana,SOL,Solana,7,103.22,60458013565,2996714935,-1.70696,0.0,293.31,0.500801,2026-09-08T04:13:20.000Z
tron,TRX,TRON,8,0.334829,31793527201,333186959,-0.27339,0.9,0.431288,0.00180434,2026-09-08T04:13:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.055,23516084575,343538,,5.5,1.061,0.155357,2026-09-05T22:40:20.000Z
zcash,ZEC,Zcash,9,1125.94,19023036842,834485947,-5.37137,33.2,3191.93,16.08,2026-09-08T04:13:20.000Z
hyperliquid,HYPE,Hyperliquid,10,84.1,18695124755,1096856605,-2.43229,0.1,89.6,3.81,2026-09-08T04:13:20.000Z
dogecoin,DOGE,Dogecoin,11,0.089869,13992379909,812132003,0.41702,8.6,0.731578,8.69e-05,2026-09-08T04:13:20.000Z
rain,RAIN,Rain,12,0.01627933,11545456481,37001438,-2.35144,-2.7,0.01946402,0.00222126,2026-09-08T04:13:20.000Z
usds,USDS,USDS,13,0.999801,9857384412,122729162,0.00638,0.0,1.057,0.948265,2026-09-08T04:13:20.000Z
monero,XMR,Monero,14,510.28,9593910889,109797989,-4.39744,-1.0,797.73,0.216177,2026-09-08T04:13:20.000Z
chainlink,LINK,Chainlink,15,12.64,9453420161,606769595,-3.48581,11.4,52.7,0.148183,2026-09-08T04:13:20.000Z
whitebit,WBT,WhiteBIT Coin,16,76.28,8995102768,79922135,3.83872,5.7,76.98,3.06,2026-09-08T04:13:20.000Z
leo-token,LEO,LEO Token,17,9.25,8505003821,533522,-0.05574,-1.3,10.61,0.799859,2026-09-08T04:13:20.000Z
cardano,ADA,Cardano,18,0.218044,8171916562,436086939,-0.69291,8.9,3.09,0.01925275,2026-09-08T04:13:20.000Z
stellar,XLM,Stellar,19,0.190019,6611454318,247628983,0.37286,6.7,0.875563,0.00047612,2026-09-08T04:13:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,20,258.21,5183803018,194563512,0.91888,4.5,3785.82,76.93,2026-09-08T04:13:20.000Z
dai,DAI,Dai,21,0.999997,4597744005,213085467,-0.01092,0.0,1.22,0.88196,2026-09-08T04:13:20.000Z
ethena-usde,USDE,Ethena USDe,22,0.999638,4384330022,48270785,-0.01059,0.0,1.034,0.929486,2026-09-08T04:13:20.000Z
uniswap,UNI,Uniswap,23,7.01,4363557985,598763736,-0.15976,34.4,44.92,1.03,2026-09-08T04:13:20.000Z
litecoin,LTC,Litecoin,24,55.09,4270586614,476196956,1.62653,13.0,410.26,1.15,2026-09-08T04:13:20.000Z
usd1-wlfi,USD1,USD1,25,0.999637,4254346006,885075017,0.00544,0.0,1.048,0.988762,2026-09-08T04:13:20.000Z
canton-network,CC,Canton,26,0.106783,4223338942,11088039,-3.11738,-12.9,0.194152,0.059024,2026-09-08T04:13:20.000Z
