id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,76944,1545231397434,30016498130,-1.78847,-4.9,126080,67.81,2026-09-11T04:15:40.000Z
ethereum,ETH,Ethereum,2,2449.65,298943949307,15509933441,-1.01542,-2.5,4946.05,0.432979,2026-09-11T04:15:40.000Z
tether,USDT,Tether,3,0.999695,183404800752,57040252300,0.00622,0.0,1.32,0.572521,2026-09-11T04:15:40.000Z
binancecoin,BNB,BNB,4,712.91,94931526691,1008992221,-1.3991,-1.7,1369.99,0.0398177,2026-09-11T04:15:40.000Z
ripple,XRP,XRP,5,1.34,84561292542,2166106871,-3.22495,-7.2,3.65,0.00268621,2026-09-11T04:15:40.000Z
usd-coin,USDC,USDC,6,1.0,74184744760,16418172513,0.02228,0.0,1.043,0.877647,2026-09-11T04:15:40.000Z
solana,SOL,Solana,7,99.49,58356812802,2996988695,-2.41439,-4.3,293.31,0.500801,2026-09-11T04:15:40.000Z
tron,TRX,TRON,8,0.339708,32252984280,358415175,0.12089,3.1,0.431288,0.00180434,2026-09-11T04:15:40.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.035,23242213744,100104452,0.97612,0.3,1.061,0.155357,2026-09-11T04:15:40.000Z
zcash,ZEC,Zcash,10,1073.02,18157517981,1456962893,-14.01448,13.7,3191.93,16.08,2026-09-11T04:15:40.000Z
hyperliquid,HYPE,Hyperliquid,11,78.96,17563286156,1152205050,-6.2097,-9.5,89.6,3.81,2026-09-11T04:15:40.000Z
dogecoin,DOGE,Dogecoin,12,0.083845,13068365082,752495266,-2.47052,-4.0,0.731578,8.69e-05,2026-09-11T04:15:40.000Z
rain,RAIN,Rain,13,0.01567067,11113836580,26394949,-4.33613,-8.4,0.01946402,0.00222126,2026-09-11T04:15:40.000Z
usds,USDS,USDS,14,0.999722,9805631737,207965295,-0.01197,0.0,1.057,0.948265,2026-09-11T04:15:40.000Z
monero,XMR,Monero,15,501.18,9423719238,95527179,-2.70608,-1.2,797.73,0.216177,2026-09-11T04:15:40.000Z
whitebit,WBT,WhiteBIT Coin,16,79.62,9385687730,96133381,-1.51494,7.8,82.52,3.06,2026-09-11T04:15:40.000Z
chainlink,LINK,Chainlink,17,11.5,8602558793,337971428,-2.60081,-3.5,52.7,0.148183,2026-09-11T04:15:40.000Z
leo-token,LEO,LEO Token,18,9.1,8368444762,22547,-1.04122,-2.1,10.61,0.799859,2026-09-11T04:15:40.000Z
cardano,ADA,Cardano,19,0.208061,7804486941,401455275,-2.63131,-7.9,3.09,0.01925275,2026-09-11T04:15:40.000Z
stellar,XLM,Stellar,20,0.17628,6136558078,145043567,-2.18721,-4.1,0.875563,0.00047612,2026-09-11T04:15:40.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,227.96,4579167155,355873662,-9.29858,-11.2,3785.82,76.93,2026-09-11T04:15:40.000Z
dai,DAI,Dai,22,0.999915,4577152879,293933716,-0.00216,0.0,1.22,0.88196,2026-09-11T04:15:40.000Z
ethena-usde,USDE,Ethena USDe,23,0.999451,4529206275,140411423,-0.00965,0.0,1.034,0.929486,2026-09-11T04:15:40.000Z
usd1-wlfi,USD1,USD1,24,0.99936,4277482185,1263110946,-0.0045,0.0,1.048,0.988762,2026-09-11T04:15:40.000Z
