id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,77566,1557762091423,31062325067,-0.00481,-1.6,126080,67.81,2026-09-15T04:34:20.000Z
ethereum,ETH,Ethereum,2,2491.9,304070025080,16085806072,-0.88271,0.6,4946.05,0.432979,2026-09-15T04:34:20.000Z
tether,USDT,Tether,3,0.999803,183394740761,56659808475,0.01133,0.0,1.32,0.572521,2026-09-15T04:34:20.000Z
binancecoin,BNB,BNB,4,720.18,95896545945,957793291,-0.3727,-2.4,1369.99,0.0398177,2026-09-15T04:34:20.000Z
ripple,XRP,XRP,5,1.41,88655810996,4267615450,2.68577,1.7,3.65,0.00268621,2026-09-15T04:34:20.000Z
usd-coin,USDC,USDC,6,0.999866,74332432104,17715972989,0.00384,0.0,1.043,0.877647,2026-09-15T04:34:20.000Z
solana,SOL,Solana,7,101.26,59440185684,3330616220,0.23212,-1.7,293.31,0.500801,2026-09-15T04:34:20.000Z
tron,TRX,TRON,8,0.338152,32111623301,462601334,-0.11767,0.8,0.431288,0.00180434,2026-09-15T04:34:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.028,23191525649,26457827,,2.3,1.061,0.155357,2026-09-15T04:34:20.000Z
zcash,ZEC,Zcash,10,1142.96,19343920843,1237077549,2.46435,0.9,3191.93,16.08,2026-09-15T04:34:20.000Z
hyperliquid,HYPE,Hyperliquid,11,79.35,17648697516,742414341,-1.10314,-5.6,89.6,3.81,2026-09-15T04:34:20.000Z
dogecoin,DOGE,Dogecoin,12,0.083136,12963925823,600251710,-1.00434,-7.5,0.731578,8.69e-05,2026-09-15T04:34:20.000Z
rain,RAIN,Rain,13,0.01415861,10026934521,26382845,-6.75567,-13.0,0.01946402,0.00222126,2026-09-15T04:34:20.000Z
usds,USDS,USDS,14,0.99973,9857894834,132567854,-0.00408,0.0,1.057,0.948265,2026-09-15T04:34:20.000Z
monero,XMR,Monero,15,515.15,9688498659,136357637,-1.59219,0.3,797.73,0.216177,2026-09-15T04:34:20.000Z
whitebit,WBT,WhiteBIT Coin,16,80.24,9461227005,118093368,-0.263,5.2,83.22,3.06,2026-09-15T04:34:20.000Z
chainlink,LINK,Chainlink,17,11.45,8564465563,364093888,0.59108,-8.9,52.7,0.148183,2026-09-15T04:34:20.000Z
