id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,74721,1499266458635,57665260763,6.1,16.2,126080,67.81,2026-08-21T01:44:20.000Z
ethereum,ETH,Ethereum,2,2357.16,284431306027,25690001406,3.8,24.1,4946.05,0.432979,2026-08-21T01:44:20.000Z
tether,USDT,Tether,3,0.999618,183033495890,92266225815,0.0,0.0,1.32,0.572521,2026-08-21T01:44:20.000Z
binancecoin,BNB,BNB,4,662.74,88250216785,1531921422,4.6,7.6,1369.99,0.0398177,2026-08-21T01:44:20.000Z
ripple,XRP,XRP,5,1.29,80695170792,7199644915,14.3,25.4,3.65,0.00268621,2026-08-21T01:44:20.000Z
usd-coin,USDC,USDC,6,0.999755,72779136973,23242022819,0.0,0.0,1.043,0.877647,2026-08-21T01:44:20.000Z
solana,SOL,Solana,7,88.43,51554372613,4264167001,3.2,15.8,293.31,0.500801,2026-08-21T01:44:20.000Z
tron,TRX,TRON,8,0.338051,32084555853,592579860,1.0,1.2,0.431288,0.00180434,2026-08-21T01:44:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.026,22196913007,433586593,-1.3,2.0,1.061,0.155357,2026-08-21T01:44:20.000Z
hyperliquid,HYPE,Hyperliquid,10,74.37,16532084782,1303497022,5.3,27.7,76.87,3.81,2026-08-21T01:44:20.000Z
dogecoin,DOGE,Dogecoin,11,0.082178,12778067372,1434156996,8.2,15.9,0.731578,8.69e-05,2026-08-21T01:44:20.000Z
rain,RAIN,Rain,12,0.01387265,9938537538,20645958,-0.7,10.5,0.01655801,0.00222126,2026-08-21T01:44:20.000Z
usds,USDS,USDS,13,0.999849,9743696233,315316412,0.0,0.0,1.057,0.948265,2026-08-21T01:44:20.000Z
zcash,ZEC,Zcash,14,574.76,9714784715,466664991,0.9,16.3,3191.93,16.08,2026-08-21T01:44:20.000Z
leo-token,LEO,LEO Token,15,9.32,8572397258,362289,0.2,-1.9,10.61,0.799859,2026-08-21T01:44:20.000Z
chainlink,LINK,Chainlink,16,10.78,8063783243,483226508,1.7,21.1,52.7,0.148183,2026-08-21T01:44:20.000Z
monero,XMR,Monero,17,415.95,7828515093,143638015,-1.5,5.9,797.73,0.216177,2026-08-21T01:44:20.000Z
cardano,ADA,Cardano,18,0.206414,7728301371,728687195,9.3,12.5,3.09,0.01925275,2026-08-21T01:44:20.000Z
whitebit,WBT,WhiteBIT Coin,19,62.09,7327103413,223910617,2.8,11.8,64.11,3.06,2026-08-21T01:44:20.000Z
stellar,XLM,Stellar,20,0.185121,6398262164,380192178,6.8,14.3,0.875563,0.00047612,2026-08-21T01:44:20.000Z
dai,DAI,Dai,21,0.999853,4567955281,324694037,0.0,0.0,1.22,0.88196,2026-08-21T01:44:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,22,225.7,4531221106,298967398,5.0,8.6,3785.82,76.93,2026-08-21T01:44:20.000Z
ethena-usde,USDE,Ethena USDe,23,0.999777,4079155677,52216748,0.0,0.0,1.034,0.929486,2026-08-21T01:44:20.000Z
usd1-wlfi,USD1,USD1,24,0.999492,3984607099,2853446959,0.0,0.0,1.048,0.988762,2026-08-21T01:44:20.000Z
the-open-network,GRAM,Gram (prev. Toncoin),25,1.41,3881924332,39679703,2.1,4.6,8.25,0.519364,2026-08-21T01:44:20.000Z
canton-network,CC,Canton,26,0.098398,3876391511,12344390,-0.7,0.7,0.194152,0.059024,2026-08-21T01:44:20.000Z
litecoin,LTC,Litecoin,27,48.19,3735061689,301993985,2.4,7.0,410.26,1.15,2026-08-21T01:44:20.000Z
global-dollar,USDG,Global Dollar,28,0.999948,3442737875,391601414,0.0,0.0,1.65,0.907561,2026-08-21T01:44:20.000Z
hedera-hashgraph,HBAR,Hedera,29,0.074249,3254195840,104323288,4.5,12.9,0.569229,0.00986111,2026-08-21T01:44:20.000Z
