id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,77440,1554918414445,30594906952,-1.6672,-2.0,126080,67.81,2026-09-02T04:07:30.000Z
ethereum,ETH,Ethereum,2,2411.99,291081342414,13343794946,-2.47078,-2.1,4946.05,0.432979,2026-09-02T04:07:30.000Z
tether,USDT,Tether,3,0.999608,183311520371,54309195320,-0.00742,0.0,1.32,0.572521,2026-09-02T04:07:30.000Z
binancecoin,BNB,BNB,4,686.92,91479504670,815898936,-0.91823,-1.5,1369.99,0.0398177,2026-09-02T04:07:30.000Z
ripple,XRP,XRP,5,1.35,84605663566,2360735487,-2.76773,-6.4,3.65,0.00268621,2026-09-02T04:07:30.000Z
usd-coin,USDC,USDC,6,0.999759,73636556073,16213220150,-0.00585,0.0,1.043,0.877647,2026-09-02T04:07:30.000Z
solana,SOL,Solana,7,99.99,58517125548,3603374167,-3.60943,3.0,293.31,0.500801,2026-09-02T04:07:30.000Z
tron,TRX,TRON,8,0.321852,30553581588,610045749,-3.1197,-4.6,0.431288,0.00180434,2026-09-02T04:07:30.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.046,23031475940,261143700,4.37398,3.5,1.061,0.155357,2026-09-02T04:07:30.000Z
hyperliquid,HYPE,Hyperliquid,10,82.7,18396375447,1390946802,-2.04003,1.3,86.71,3.81,2026-09-02T04:07:30.000Z
zcash,ZEC,Zcash,11,835.02,14120391629,550469009,-2.64837,7.1,3191.93,16.08,2026-09-02T04:07:30.000Z
dogecoin,DOGE,Dogecoin,12,0.081409,12679987026,567634578,-2.23041,-6.1,0.731578,8.69e-05,2026-09-02T04:07:30.000Z
rain,RAIN,Rain,13,0.01723182,12223985733,41477422,3.0647,-3.8,0.01946402,0.00222126,2026-09-02T04:07:30.000Z
usds,USDS,USDS,14,0.999767,9835706615,151118541,-0.00833,0.0,1.057,0.948265,2026-09-02T04:07:30.000Z
monero,XMR,Monero,15,513.94,9660663151,149591893,0.12863,15.7,797.73,0.216177,2026-09-02T04:07:30.000Z
leo-token,LEO,LEO Token,16,9.33,8584711915,278013,-0.51212,0.3,10.61,0.799859,2026-09-02T04:07:30.000Z
whitebit,WBT,WhiteBIT Coin,17,71.22,8400584633,90023670,-1.90833,-2.3,74.97,3.06,2026-09-02T04:07:30.000Z
chainlink,LINK,Chainlink,18,11.19,8372814803,345693952,-2.19051,-2.0,52.7,0.148183,2026-09-02T04:07:30.000Z
cardano,ADA,Cardano,19,0.196887,7384787755,359130784,-1.97971,-6.9,3.09,0.01925275,2026-09-02T04:07:30.000Z
stellar,XLM,Stellar,20,0.17555,6090387846,120138306,-1.43662,-5.2,0.875563,0.00047612,2026-09-02T04:07:30.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,248.47,4990467623,126653290,0.09634,-7.8,3785.82,76.93,2026-09-02T04:07:30.000Z
dai,DAI,Dai,22,0.999868,4569963203,246773269,-0.00788,0.0,1.22,0.88196,2026-09-02T04:07:30.000Z
canton-network,CC,Canton,23,0.114894,4534814553,10977385,-7.05076,-3.2,0.194152,0.059024,2026-09-02T04:07:30.000Z
ethena-usde,USDE,Ethena USDe,24,0.999393,4218859772,67408297,-0.01453,0.0,1.034,0.929486,2026-09-02T04:07:30.000Z
usd1-wlfi,USD1,USD1,25,0.999296,4194980342,1374423826,-0.01722,0.0,1.048,0.988762,2026-09-02T04:07:30.000Z
uniswap,UNI,Uniswap,26,6.16,3837533464,1074063905,14.14735,39.4,44.92,1.03,2026-09-02T04:07:30.000Z
litecoin,LTC,Litecoin,27,49.12,3810435121,289475394,0.46444,-2.6,410.26,1.15,2026-09-02T04:07:30.000Z
the-open-network,GRAM,Gram (prev. Toncoin),28,1.31,3648435583,52303420,-6.08149,-8.4,8.25,0.519364,2026-09-02T04:07:30.000Z
global-dollar,USDG,Global Dollar,29,0.999828,3274049132,1605315782,0.01309,0.0,1.65,0.907561,2026-09-02T04:07:30.000Z
hedera-hashgraph,HBAR,Hedera,30,0.0739,3239266642,58719487,-0.76719,-6.0,0.569229,0.00986111,2026-09-02T04:07:30.000Z
avalanche-2,AVAX,Avalanche,31,7.2,3110928061,195140717,-0.9609,-2.6,144.96,2.8,2026-09-02T04:07:30.000Z
shiba-inu,SHIB,Shiba Inu,32,5.16e-06,3038945465,74880207,0.54107,-3.8,8.616e-05,5.6366e-11,2026-09-02T04:07:30.000Z
sui,SUI,Sui,33,0.721503,2956226701,417912338,-1.51636,-5.2,5.35,0.364846,2026-09-02T04:07:30.000Z
paypal-usd,PYUSD,PayPal USD,34,0.999705,2811859299,83737149,-0.00544,0.0,1.021,0.959426,2026-09-02T04:07:30.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,35,1.0,2768852901,0.0,0.0,0.0,1.0,1.0,2026-09-02T04:07:30.000Z
hashnote-usyc,USYC,Circle USYC,36,1.14,2708043113,0.0,0.00906,0.1,1.14,1.026,2026-09-02T04:07:30.000Z
crypto-com-chain,CRO,Cronos,37,0.054798,2659970372,5662363,-2.36701,-5.7,0.891544,0.0121196,2026-09-02T04:07:30.000Z
tether-gold,XAUT,Tether Gold,38,4305.78,2638801932,358668424,-2.70514,-7.3,5504.62,1447.84,2026-09-02T04:07:30.000Z
near,NEAR,NEAR Protocol,39,1.87,2445257930,316820646,-5.89291,-1.2,20.44,0.526762,2026-09-02T04:07:30.000Z
ripple-usd,RLUSD,Ripple USD,40,1.0,2395342493,114334149,-0.005,0.0,1.073,0.962292,2026-09-02T04:07:30.000Z
memecore,M,MemeCore,41,1.052,2385468531,2545699,-3.44793,-10.1,5.64,0.04746135,2026-09-02T04:07:30.000Z
okb,OKB,OKB,42,109.61,2301781716,14848589,-2.20499,-3.6,228.74,0.580608,2026-09-02T04:07:30.000Z
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,43,1.14,2178645366,851791,0.12965,-0.3,1.26,0.934184,2026-09-02T04:07:30.000Z
bittensor,TAO,Bittensor,44,219.77,2108920932,123014570,-4.6598,-5.8,757.6,30.83,2026-09-02T04:07:30.000Z
aave,AAVE,Aave,45,130.67,2016369009,304098302,3.74457,1.1,661.69,26.02,2026-09-02T04:07:30.000Z
aster-2,ASTER,Aster,46,0.700468,1892017690,102484366,-0.21401,-0.2,2.41,0.099713,2026-09-02T04:07:30.000Z
pax-gold,PAXG,PAX Gold,47,4314.14,1860873705,217687914,-2.68579,-7.3,5619.09,1399.64,2026-09-02T04:07:30.000Z
morpho,MORPHO,Morpho,48,2.65,1825341733,39945282,4.51306,4.8,4.17,0.713151,2026-09-02T04:07:30.000Z
world-liberty-financial,WLFI,World Liberty Financial,49,0.057163,1816324742,32352600,-0.54807,-2.8,0.331336,0.050799,2026-09-02T04:07:30.000Z
mantle,MNT,Mantle,50,0.541964,1789900741,25069008,-1.60015,5.5,2.86,0.307978,2026-09-02T04:07:30.000Z
