id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,77218,1550825256806,15294329553,-0.00808,-3.4,126080,67.81,2026-09-13T04:27:10.000Z
ethereum,ETH,Ethereum,2,2522.33,307836257194,7780232738,0.46583,0.7,4946.05,0.432979,2026-09-13T04:27:10.000Z
tether,USDT,Tether,3,0.999811,183482831482,29750745774,-0.00618,0.0,1.32,0.572521,2026-09-13T04:27:10.000Z
binancecoin,BNB,BNB,4,726.68,96765991103,702714896,-0.94311,-4.8,1369.99,0.0398177,2026-09-13T04:27:10.000Z
ripple,XRP,XRP,5,1.36,85810358629,963642754,0.06386,-3.8,3.65,0.00268621,2026-09-13T04:27:10.000Z
usd-coin,USDC,USDC,6,0.999876,74276352412,5489166577,-0.00078,0.0,1.043,0.877647,2026-09-13T04:27:10.000Z
solana,SOL,Solana,7,101.68,59651947150,1826484521,-0.02557,-2.6,293.31,0.500801,2026-09-13T04:27:10.000Z
tron,TRX,TRON,8,0.339413,32224848415,467387153,0.0067,1.9,0.431288,0.00180434,2026-09-13T04:27:10.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.0,22551817529,50043,-3.07464,-0.5,1.061,0.155357,2026-09-13T01:20:10.000Z
zcash,ZEC,Zcash,9,1140.4,19304024454,727824799,0.17968,6.5,3191.93,16.08,2026-09-13T04:27:10.000Z
hyperliquid,HYPE,Hyperliquid,10,79.19,17614692470,559909857,0.48951,-7.5,89.6,3.81,2026-09-13T04:27:10.000Z
dogecoin,DOGE,Dogecoin,11,0.084703,13204456588,336170669,0.43353,-6.8,0.731578,8.69e-05,2026-09-13T04:27:10.000Z
rain,RAIN,Rain,12,0.01577563,11191747593,26059474,3.15948,-8.5,0.01946402,0.00222126,2026-09-13T04:27:10.000Z
monero,XMR,Monero,13,536.77,10093231423,105528362,1.07392,-2.6,797.73,0.216177,2026-09-13T04:27:10.000Z
usds,USDS,USDS,14,0.999757,9816263591,41528467,-0.01664,0.0,1.057,0.948265,2026-09-13T04:27:10.000Z
whitebit,WBT,WhiteBIT Coin,15,80.26,9461351234,20137559,0.16817,8.8,83.22,3.06,2026-09-13T04:27:10.000Z
chainlink,LINK,Chainlink,16,11.5,8600839539,208851063,-0.07164,-6.1,52.7,0.148183,2026-09-13T04:27:10.000Z
leo-token,LEO,LEO Token,17,9.06,8336215712,268268,-0.74746,-2.9,10.61,0.799859,2026-09-13T04:27:10.000Z
cardano,ADA,Cardano,18,0.206911,7762789825,211674944,-0.74566,-6.4,3.09,0.01925275,2026-09-13T04:27:10.000Z
stellar,XLM,Stellar,19,0.179974,6269242450,82415991,-0.46705,-3.4,0.875563,0.00047612,2026-09-13T04:27:10.000Z
ethena-usde,USDE,Ethena USDe,20,0.999748,4604495395,19218584,-0.01348,0.0,1.034,0.929486,2026-09-13T04:27:10.000Z
dai,DAI,Dai,21,0.999853,4585515705,71273738,0.01244,0.0,1.22,0.88196,2026-09-13T04:27:10.000Z
bitcoin-cash,BCH,Bitcoin Cash,22,225.51,4529995927,123162308,-1.84914,-14.5,3785.82,76.93,2026-09-13T04:27:10.000Z
usd1-wlfi,USD1,USD1,23,0.999711,4307700022,570039508,-0.01126,0.0,1.048,0.988762,2026-09-13T04:27:10.000Z
litecoin,LTC,Litecoin,24,53.65,4163733891,139250628,-0.20144,-2.0,410.26,1.15,2026-09-13T04:27:10.000Z
uniswap,UNI,Uniswap,25,6.38,3976560194,447624727,3.70921,-11.1,44.92,1.03,2026-09-13T04:27:10.000Z
canton-network,CC,Canton,26,0.097823,3871832014,4674899,-0.64602,-11.5,0.194152,0.059024,2026-09-13T04:27:10.000Z
the-open-network,GRAM,Gram (prev. Toncoin),27,1.37,3808497900,22982773,0.22525,-3.9,8.25,0.519364,2026-09-13T04:27:10.000Z
global-dollar,USDG,Global Dollar,28,0.999919,3305857178,881405040,-0.00327,0.0,1.65,0.907561,2026-09-13T04:27:10.000Z
hedera-hashgraph,HBAR,Hedera,29,0.075109,3292126987,32620577,0.82795,-7.7,0.569229,0.00986111,2026-09-13T04:27:10.000Z
avalanche-2,AVAX,Avalanche,30,7.4,3274692397,152354377,-0.67678,-3.5,144.96,2.8,2026-09-13T04:27:10.000Z
shiba-inu,SHIB,Shiba Inu,31,5.26e-06,3097925728,57652666,0.73742,-4.2,8.616e-05,5.6366e-11,2026-09-13T04:27:10.000Z
near,NEAR,NEAR Protocol,32,2.36,3076477705,231697635,-0.20473,5.4,20.44,0.526762,2026-09-13T04:27:10.000Z
sui,SUI,Sui,33,0.722897,2961581092,247061089,-0.15455,-9.3,5.35,0.364846,2026-09-13T04:27:10.000Z
crypto-com-chain,CRO,Cronos,34,0.059825,2904316223,6604648,4.30444,4.5,0.891544,0.0121196,2026-09-13T04:27:10.000Z
paypal-usd,PYUSD,PayPal USD,35,0.999799,2785266159,31858811,-0.00648,0.0,1.021,0.959426,2026-09-13T04:27:10.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,36,1.0,2750834099,0.0,0.0,0.0,1.0,1.0,2026-09-13T04:27:10.000Z
memecore,M,MemeCore,37,1.18,2692459197,1119872,-0.80766,5.8,5.64,0.04746135,2026-09-13T04:27:10.000Z
tether-gold,XAUT,Tether Gold,38,4350.24,2665995851,61944417,0.03465,-1.6,5504.62,1447.84,2026-09-13T04:27:10.000Z
hashnote-usyc,USYC,Circle USYC,39,1.14,2605383630,0.0,0.0,0.1,1.14,1.026,2026-09-13T04:27:10.000Z
ripple-usd,RLUSD,Ripple USD,40,0.999959,2422755552,69050644,0.00491,0.0,1.073,0.962292,2026-09-13T04:27:10.000Z
okb,OKB,OKB,41,114.28,2400000959,13984511,-0.40182,-1.5,228.74,0.580608,2026-09-13T04:27:10.000Z
bittensor,TAO,Bittensor,42,235.37,2257951085,90796383,0.56483,-0.6,757.6,30.83,2026-09-13T04:27:10.000Z
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,43,1.14,2225853501,802574,-0.07271,0.0,1.26,0.934184,2026-09-13T04:27:10.000Z
aave,AAVE,Aave,44,127.5,1966873258,149624457,1.93618,-5.8,661.69,26.02,2026-09-13T04:27:10.000Z
pax-gold,PAXG,PAX Gold,45,4355.23,1885427380,35699411,0.02958,-1.7,5619.09,1399.64,2026-09-13T04:27:10.000Z
aster-2,ASTER,Aster,46,0.694869,1879999896,90219738,1.38218,-11.8,2.41,0.099713,2026-09-13T04:27:10.000Z
mantle,MNT,Mantle,47,0.555466,1834313199,20468903,-4.60235,-5.3,2.86,0.307978,2026-09-13T04:27:10.000Z
world-liberty-financial,WLFI,World Liberty Financial,48,0.057191,1817586179,72111439,3.78123,-0.3,0.331336,0.04828182,2026-09-13T04:27:10.000Z
polkadot,DOT,Polkadot,49,1.006,1713003628,108811942,-4.19504,8.8,54.98,0.727004,2026-09-13T04:27:10.000Z
