id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,79580,1598074625090,33127854065,-1.58045,2.5,126080,67.81,2026-09-05T04:07:20.000Z
ethereum,ETH,Ethereum,2,2452.34,299274560912,15077517763,-2.02826,0.6,4946.05,0.432979,2026-09-05T04:07:20.000Z
tether,USDT,Tether,3,1.0,183421706799,63410836897,0.01899,0.0,1.32,0.572521,2026-09-05T04:07:20.000Z
binancecoin,BNB,BNB,4,722.98,96287212141,993051860,-0.11569,4.8,1369.99,0.0398177,2026-09-05T04:07:20.000Z
ripple,XRP,XRP,5,1.4,87706920406,2765280365,-3.2322,1.1,3.65,0.00268621,2026-09-05T04:07:20.000Z
usd-coin,USDC,USDC,6,0.999992,74614576011,17073335138,0.00778,0.0,1.043,0.877647,2026-09-05T04:07:20.000Z
solana,SOL,Solana,7,101.83,59620999582,3195760218,-1.74789,-2.0,293.31,0.500801,2026-09-05T04:07:20.000Z
tron,TRX,TRON,8,0.332074,31525319248,398278309,0.82887,-2.7,0.431288,0.00180434,2026-09-05T04:07:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.038,23096106473,25174779,0.53391,-0.2,1.061,0.155357,2026-09-05T04:07:20.000Z
hyperliquid,HYPE,Hyperliquid,10,83.88,18666174799,1207807976,-3.52775,4.0,88.06,3.81,2026-09-05T04:07:20.000Z
zcash,ZEC,Zcash,11,1026.02,17367333128,1298630207,8.37809,26.7,3191.93,16.08,2026-09-05T04:07:20.000Z
dogecoin,DOGE,Dogecoin,12,0.084628,13185176316,832504081,-2.83692,-0.5,0.731578,8.69e-05,2026-09-05T04:07:20.000Z
rain,RAIN,Rain,13,0.01643925,11666360113,39568847,-3.79274,-6.8,0.01946402,0.00222126,2026-09-05T04:07:20.000Z
monero,XMR,Monero,14,534.97,10057780772,212009962,6.77325,13.7,797.73,0.216177,2026-09-05T04:07:20.000Z
usds,USDS,USDS,15,0.999801,9814350187,180607905,-0.01415,0.0,1.057,0.948265,2026-09-05T04:07:20.000Z
chainlink,LINK,Chainlink,16,11.66,8730643351,432766276,-1.78366,2.5,52.7,0.148183,2026-09-05T04:07:20.000Z
whitebit,WBT,WhiteBIT Coin,17,73.14,8628966754,96716455,-0.86423,2.2,74.97,3.06,2026-09-05T04:07:20.000Z
leo-token,LEO,LEO Token,18,9.22,8480172462,169456,-0.99994,-4.6,10.61,0.799859,2026-09-05T04:07:20.000Z
cardano,ADA,Cardano,19,0.210342,7891322411,542658468,-5.6765,4.3,3.09,0.01925275,2026-09-05T04:07:20.000Z
stellar,XLM,Stellar,20,0.180487,6281965287,135741941,-1.38162,0.9,0.875563,0.00047612,2026-09-05T04:07:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,247.58,4974448662,156934060,-3.06108,0.1,3785.82,76.93,2026-09-05T04:07:20.000Z
dai,DAI,Dai,22,0.999708,4596877166,374550701,0.00867,0.0,1.22,0.88196,2026-09-05T04:07:20.000Z
ethena-usde,USDE,Ethena USDe,23,0.999945,4331930867,91883568,0.01504,0.0,1.034,0.929486,2026-09-05T04:07:20.000Z
canton-network,CC,Canton,24,0.108447,4299711275,9416209,-2.5818,-1.5,0.194152,0.059024,2026-09-05T04:07:20.000Z
usd1-wlfi,USD1,USD1,25,0.999715,4238930916,1280431135,0.00022,0.0,1.048,0.988762,2026-09-05T04:07:20.000Z
