id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,77682,1559751904239,26733992629,0.28597,-1.3,126080,67.81,2026-09-03T04:02:30.000Z
ethereum,ETH,Ethereum,2,2402.67,293165426981,12717367959,-0.42539,-3.7,4946.05,0.432979,2026-09-03T04:02:30.000Z
tether,USDT,Tether,3,0.999695,183328281195,48056389382,0.00552,0.0,1.32,0.572521,2026-09-03T04:02:30.000Z
binancecoin,BNB,BNB,4,692.44,92206426006,692024716,0.78513,-1.5,1369.99,0.0398177,2026-09-03T04:02:30.000Z
ripple,XRP,XRP,5,1.37,85801871969,2405856623,1.2451,-2.8,3.65,0.00268621,2026-09-03T04:02:30.000Z
usd-coin,USDC,USDC,6,0.999807,73739391531,12845843047,0.00179,0.0,1.043,0.877647,2026-09-03T04:02:30.000Z
solana,SOL,Solana,7,100.47,58807345475,3015318286,0.33772,-0.6,293.31,0.500801,2026-09-03T04:02:30.000Z
tron,TRX,TRON,8,0.325798,30928266199,364017521,1.24772,-2.8,0.431288,0.00180434,2026-09-03T04:02:30.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.013,22411194504,65145027,-3.12529,-2.1,1.061,0.155357,2026-09-03T04:02:30.000Z
hyperliquid,HYPE,Hyperliquid,10,82.35,18318185784,1022351940,-0.5662,1.6,86.71,3.81,2026-09-03T04:02:30.000Z
zcash,ZEC,Zcash,11,819.66,13858436021,454089942,-1.83479,4.7,3191.93,16.08,2026-09-03T04:02:30.000Z
dogecoin,DOGE,Dogecoin,12,0.082778,12892177641,604892575,1.53843,-4.7,0.731578,8.69e-05,2026-09-03T04:02:30.000Z
rain,RAIN,Rain,13,0.01670908,11849887187,40854860,-3.09064,-4.5,0.01946402,0.00222126,2026-09-03T04:02:30.000Z
usds,USDS,USDS,14,0.999821,9825806874,181805279,-0.00272,0.0,1.057,0.948265,2026-09-03T04:02:30.000Z
monero,XMR,Monero,15,508.65,9562101501,165947642,-1.09729,15.4,797.73,0.216177,2026-09-03T04:02:30.000Z
leo-token,LEO,LEO Token,16,9.25,8509758300,83951,-0.87354,-0.5,10.61,0.799859,2026-09-03T04:02:30.000Z
whitebit,WBT,WhiteBIT Coin,17,71.17,8394284013,88781445,-0.18524,-2.3,74.97,3.06,2026-09-03T04:02:30.000Z
chainlink,LINK,Chainlink,18,11.19,8371711800,342240537,-0.14605,-3.1,52.7,0.148183,2026-09-03T04:02:30.000Z
cardano,ADA,Cardano,19,0.204755,7679002138,384859804,3.81398,-2.0,3.09,0.01925275,2026-09-03T04:02:30.000Z
stellar,XLM,Stellar,20,0.177517,6161227042,107697619,0.98461,-3.1,0.875563,0.00047612,2026-09-03T04:02:30.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,247.3,4967632267,105760572,-0.61631,-7.7,3785.82,76.93,2026-09-03T04:02:30.000Z
dai,DAI,Dai,22,0.999822,4567926668,164683275,0.0018,0.0,1.22,0.88196,2026-09-03T04:02:30.000Z
canton-network,CC,Canton,23,0.111786,4412500667,12527442,-2.90706,-3.6,0.194152,0.059024,2026-09-03T04:02:30.000Z
ethena-usde,USDE,Ethena USDe,24,0.999479,4241080491,95314147,0.00356,0.0,1.034,0.929486,2026-09-03T04:02:30.000Z
usd1-wlfi,USD1,USD1,25,0.999385,4195231496,933629898,0.0071,0.0,1.048,0.988762,2026-09-03T04:02:30.000Z
litecoin,LTC,Litecoin,26,50.14,3889048187,263256135,1.9008,0.4,410.26,1.15,2026-09-03T04:02:30.000Z
the-open-network,GRAM,Gram (prev. Toncoin),27,1.34,3711601172,27514953,1.70983,-3.9,8.25,0.519364,2026-09-03T04:02:30.000Z
uniswap,UNI,Uniswap,28,5.72,3567247136,991559532,-6.83085,29.9,44.92,1.03,2026-09-03T04:02:30.000Z
hedera-hashgraph,HBAR,Hedera,29,0.075777,3322196442,48361276,2.44915,-1.8,0.569229,0.00986111,2026-09-03T04:02:30.000Z
global-dollar,USDG,Global Dollar,30,1.0,3238165192,1720949206,0.03154,0.0,1.65,0.907561,2026-09-03T04:02:30.000Z
sui,SUI,Sui,31,0.768597,3148439746,519678565,6.16314,2.4,5.35,0.364846,2026-09-03T04:02:30.000Z
avalanche-2,AVAX,Avalanche,32,7.28,3144329955,184077372,1.04728,-1.0,144.96,2.8,2026-09-03T04:02:30.000Z
shiba-inu,SHIB,Shiba Inu,33,5.21e-06,3071984159,64535735,0.98699,-1.9,8.616e-05,5.6366e-11,2026-09-03T04:02:30.000Z
paypal-usd,PYUSD,PayPal USD,34,0.999974,2915049802,100207911,0.02172,0.0,1.021,0.959426,2026-09-03T04:02:30.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,35,1.0,2772716754,0.0,0.0,0.0,1.0,1.0,2026-09-03T04:02:30.000Z
tether-gold,XAUT,Tether Gold,36,4420.33,2708981428,250160268,2.66774,-4.2,5504.62,1447.84,2026-09-03T04:02:30.000Z
hashnote-usyc,USYC,Circle USYC,37,1.14,2705993138,0.0,0.00863,0.1,1.14,1.026,2026-09-03T04:02:30.000Z
crypto-com-chain,CRO,Cronos,38,0.054257,2633658452,4878376,-0.84554,-8.7,0.891544,0.0121196,2026-09-03T04:02:30.000Z
near,NEAR,NEAR Protocol,39,1.9,2480629561,202476616,1.2839,1.9,20.44,0.526762,2026-09-03T04:02:30.000Z
memecore,M,MemeCore,40,1.065,2415558285,2479956,1.26315,-4.7,5.64,0.04746135,2026-09-03T04:02:30.000Z
ripple-usd,RLUSD,Ripple USD,41,0.99999,2378646880,167015247,-0.01501,0.0,1.073,0.962292,2026-09-03T04:02:30.000Z
okb,OKB,OKB,42,106.34,2233618194,28120908,-2.97941,-4.7,228.74,0.580608,2026-09-03T04:02:30.000Z
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,43,1.14,2182103992,1797761,0.25705,0.1,1.26,0.934184,2026-09-03T04:02:30.000Z
bittensor,TAO,Bittensor,44,218.53,2097914903,88595834,-0.65904,-9.2,757.6,30.83,2026-09-03T04:02:30.000Z
aave,AAVE,Aave,45,127.1,1960793648,319380825,-2.78931,1.4,661.69,26.02,2026-09-03T04:02:30.000Z
aster-2,ASTER,Aster,46,0.71495,1930591561,152579182,2.03599,0.1,2.41,0.099713,2026-09-03T04:02:30.000Z
pax-gold,PAXG,PAX Gold,47,4433.84,1914109886,157988051,2.78128,-4.0,5619.09,1399.64,2026-09-03T04:02:30.000Z
mantle,MNT,Mantle,48,0.559172,1846749723,23840947,3.09306,9.8,2.86,0.307978,2026-09-03T04:02:30.000Z
world-liberty-financial,WLFI,World Liberty Financial,49,0.05605,1781187777,25188687,-2.09407,-3.3,0.331336,0.050799,2026-09-03T04:02:30.000Z
morpho,MORPHO,Morpho,50,2.52,1734640884,35718678,-5.31792,0.2,4.17,0.713151,2026-09-03T04:02:30.000Z
