id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,77660,1559221028617,21664428416,-0.62721,0.9,126080,67.81,2026-08-31T05:11:30.000Z
ethereum,ETH,Ethereum,2,2419.88,292033952899,12418752965,-1.49803,-0.6,4946.05,0.432979,2026-08-31T05:11:30.000Z
tether,USDT,Tether,3,0.999838,183381687864,42103623303,-0.01405,0.0,1.32,0.572521,2026-08-31T05:11:30.000Z
binancecoin,BNB,BNB,4,684.02,91086210206,738688737,-1.43161,-1.8,1369.99,0.0398177,2026-08-31T05:11:30.000Z
ripple,XRP,XRP,5,1.35,84986083567,1960656025,-2.8388,-7.8,3.65,0.00268621,2026-08-31T05:11:30.000Z
usd-coin,USDC,USDC,6,0.999862,73879643396,10580731818,-0.00921,0.0,1.043,0.877647,2026-08-31T05:11:30.000Z
solana,SOL,Solana,7,101.56,59427120533,3258675265,-3.32794,8.3,293.31,0.500801,2026-08-31T05:11:30.000Z
tron,TRX,TRON,8,0.336297,31923931490,368994029,-1.28395,-2.0,0.431288,0.00180434,2026-08-31T05:11:30.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.0,21815005602,3820525,,0.0,1.061,0.155357,2026-08-29T22:19:00.000Z
hyperliquid,HYPE,Hyperliquid,9,80.37,17877359657,885653222,-3.07458,0.9,86.71,3.81,2026-08-31T05:11:30.000Z
zcash,ZEC,Zcash,10,823.17,13916406040,1133477399,-0.87889,-1.2,3191.93,16.08,2026-08-31T05:11:30.000Z
dogecoin,DOGE,Dogecoin,11,0.082209,12801288207,646381771,-3.28712,-10.1,0.731578,8.69e-05,2026-08-31T05:11:30.000Z
rain,RAIN,Rain,12,0.01703575,12081639259,31947132,-2.85718,22.6,0.01946402,0.00222126,2026-08-31T05:11:30.000Z
usds,USDS,USDS,13,0.999813,9820991375,57276755,-0.01348,0.0,1.057,0.948265,2026-08-31T05:11:30.000Z
monero,XMR,Monero,14,509.25,9573041379,203553736,8.33451,21.3,797.73,0.216177,2026-08-31T05:11:30.000Z
leo-token,LEO,LEO Token,15,9.59,8825161920,116953,-1.18866,2.9,10.61,0.799859,2026-08-31T05:11:30.000Z
whitebit,WBT,WhiteBIT Coin,16,71.48,8431614221,89347739,-0.85016,-0.6,74.97,3.06,2026-08-31T05:11:30.000Z
chainlink,LINK,Chainlink,17,11.19,8369992031,328618030,-1.80082,-1.9,52.7,0.148183,2026-08-31T05:11:30.000Z
cardano,ADA,Cardano,18,0.193652,7261684573,344613459,-3.57927,-11.3,3.09,0.01925275,2026-08-31T05:11:30.000Z
stellar,XLM,Stellar,19,0.175225,6077768695,126857736,-2.74562,-9.6,0.875563,0.00047612,2026-08-31T05:11:30.000Z
bitcoin-cash,BCH,Bitcoin Cash,20,245.4,4928261472,126700259,0.07829,-9.1,3785.82,76.93,2026-08-31T05:11:30.000Z
canton-network,CC,Canton,21,0.11851,4675922189,11039793,-0.5125,-2.6,0.194152,0.059024,2026-08-31T05:11:30.000Z
dai,DAI,Dai,22,0.999886,4587081262,159879133,-0.00565,0.0,1.22,0.88196,2026-08-31T05:11:30.000Z
usd1-wlfi,USD1,USD1,23,0.999573,4181880031,992908086,-0.00317,0.0,1.048,0.988762,2026-08-31T05:11:30.000Z
ethena-usde,USDE,Ethena USDe,24,0.999875,4081444361,33302161,-0.01054,0.0,1.034,0.929486,2026-08-31T05:11:30.000Z
the-open-network,GRAM,Gram (prev. Toncoin),25,1.35,3753251595,27612421,-0.90254,-8.0,8.25,0.519364,2026-08-31T05:11:30.000Z
litecoin,LTC,Litecoin,26,48.34,3748823680,196721942,-1.15377,-6.7,410.26,1.15,2026-08-31T05:11:30.000Z
global-dollar,USDG,Global Dollar,27,1.0,3323182862,748868120,-0.01186,0.0,1.65,0.907561,2026-08-31T05:11:30.000Z
hedera-hashgraph,HBAR,Hedera,28,0.073811,3235240665,47287785,-1.40869,-6.3,0.569229,0.00986111,2026-08-31T05:11:30.000Z
uniswap,UNI,Uniswap,29,5.06,3151562646,839380053,3.39062,13.7,44.92,1.03,2026-08-31T05:11:30.000Z
avalanche-2,AVAX,Avalanche,30,7.16,3093516442,182655306,-1.85564,-4.1,144.96,2.8,2026-08-31T05:11:30.000Z
shiba-inu,SHIB,Shiba Inu,31,5.02e-06,2956960458,79548472,-2.16344,-6.5,8.616e-05,5.6366e-11,2026-08-31T05:11:30.000Z
sui,SUI,Sui,32,0.715966,2917225019,469852589,-3.18556,-13.0,5.35,0.364846,2026-08-31T05:11:30.000Z
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,33,1.0,2810648662,0.0,0.0,0.0,1.0,1.0,2026-08-31T05:11:30.000Z
paypal-usd,PYUSD,PayPal USD,34,0.999883,2810277846,40166901,-0.01209,0.0,1.021,0.959426,2026-08-31T05:11:30.000Z
hashnote-usyc,USYC,Circle USYC,35,1.14,2777767194,0.0,0.0,0.1,1.14,1.026,2026-08-31T05:11:30.000Z
crypto-com-chain,CRO,Cronos,36,0.056236,2728797499,21627071,-2.44939,-6.1,0.891544,0.0121196,2026-08-31T05:11:30.000Z
tether-gold,XAUT,Tether Gold,37,4412.47,2704065574,315809718,-0.99134,-4.4,5504.62,1447.84,2026-08-31T05:11:30.000Z
memecore,M,MemeCore,38,1.081,2452095852,1438792,-0.51665,-2.8,5.64,0.04746135,2026-08-31T05:11:30.000Z
near,NEAR,NEAR Protocol,39,1.83,2388682292,215193388,-3.26312,-7.8,20.44,0.526762,2026-08-31T05:11:30.000Z
ripple-usd,RLUSD,Ripple USD,40,1.0,2369207518,81068337,-0.03572,0.0,1.073,0.962292,2026-08-31T05:11:30.000Z
okb,OKB,OKB,41,110.4,2318428297,17681532,-3.94085,-1.2,228.74,0.580608,2026-08-31T05:11:30.000Z
bittensor,TAO,Bittensor,42,227.85,2186751522,132559013,-3.36678,-2.5,757.6,30.83,2026-08-31T05:11:30.000Z
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,43,1.14,2186618345,107901,-0.42762,-0.3,1.26,0.934184,2026-08-31T05:11:30.000Z
pax-gold,PAXG,PAX Gold,44,4420.56,1906646070,109954414,-0.93158,-4.5,5619.09,1399.64,2026-08-31T05:11:30.000Z
aave,AAVE,Aave,45,122.53,1890082071,257453239,-2.50642,-12.3,661.69,26.02,2026-08-31T05:11:30.000Z
mantle,MNT,Mantle,46,0.570335,1883412654,44941198,10.01974,12.4,2.86,0.307978,2026-08-31T05:11:30.000Z
aster-2,ASTER,Aster,47,0.691501,1867060645,103760150,-0.75633,1.0,2.41,0.099713,2026-08-31T05:11:30.000Z
world-liberty-financial,WLFI,World Liberty Financial,48,0.056801,1804973070,34459296,-1.15428,-1.1,0.331336,0.050799,2026-08-31T05:11:30.000Z
ondo-finance,ONDO,Ondo,49,0.345812,1683871526,74177239,-2.10458,-6.7,2.14,0.082171,2026-08-31T05:11:30.000Z
